pod,namespace,ip,cpu_milli,memory_mib,num_gpu,gpu_index,gpu_mem_ratio,gpu_milli,model,gpu_mem_mib_each,gpu_mem_mib,gpu_type_req,creation_time
openb-pod-0000,paib-gpu,,12000,,1,1,100,1000,V100M32,32510,32510,<none>,
openb-pod-0001,paib-gpu,,6000,,1,4,46,460,G2,20000,9200,<none>,
openb-pod-0002,paib-gpu,,12000,,1,5,100,1000,V100M32,32510,32510,<none>,
openb-pod-0002-tuned-1096,paib-gpu,,12000,,1,2,100,1000,G2,20000,20000,<none>,
openb-pod-0003,paib-gpu,,6000,,1,0,46,460,G2,20000,9200,<none>,
openb-pod-0004,paib-gpu,,12000,,1,1,100,1000,T4,15109,15109,<none>,
openb-pod-0005,paib-gpu,,20000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0006,paib-gpu,,4000,,1,1,100,1000,G2,20000,20000,<none>,
openb-pod-0006-tuned-1242,paib-gpu,,4000,,1,6,100,1000,G2,20000,20000,<none>,
openb-pod-0007,paib-gpu,,12000,,1,5,100,1000,G2,20000,20000,<none>,
openb-pod-0008,paib-gpu,,12000,,1,1,100,1000,P100,16280,16280,<none>,
openb-pod-0008-tuned-429,paib-gpu,,12000,,1,4,100,1000,G2,20000,20000,<none>,
openb-pod-0009,paib-gpu,,12000,,1,0,100,1000,V100M16,16160,16160,V100M16|V100M32,
openb-pod-0010,paib-gpu,,16000,,1,4,100,1000,G2,20000,20000,<none>,
openb-pod-0011,paib-gpu,,6000,,1,7,46,460,G2,20000,9200,<none>,
openb-pod-0012,paib-gpu,,8000,,1,3,100,1000,T4,15109,15109,T4,
openb-pod-0013,paib-gpu,,8000,,1,1,100,1000,G2,20000,20000,G2,
openb-pod-0014,paib-gpu,,16000,,1,5,100,1000,G2,20000,20000,<none>,
openb-pod-0015,paib-gpu,,16000,,1,4,100,1000,G2,20000,20000,<none>,
openb-pod-0016,paib-gpu,,32000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0017,paib-gpu,,88000,,8,0-1-2-3-4-5-6-7,100,1000,G2,20000,20000,G2,
openb-pod-0018,paib-gpu,,6000,,1,4,46,460,G2,20000,9200,<none>,
openb-pod-0019,paib-gpu,,8000,,1,4,47,470,G2,20000,9400,<none>,
openb-pod-0020,paib-gpu,,8000,,1,4,47,470,G2,20000,9400,<none>,
openb-pod-0021,paib-gpu,,8000,,1,1,44,440,G2,20000,8800,G2|P100|T4|V100M16|V100M32,
openb-pod-0024,paib-gpu,,16000,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0025,paib-gpu,,4000,,1,0,11,110,T4,15109,1661,<none>,
openb-pod-0025-tuned-2610,paib-gpu,,4000,,1,1,11,110,T4,15109,1661,<none>,
openb-pod-0026,paib-gpu,,16000,,1,3,100,1000,V100M16,16160,16160,<none>,
openb-pod-0027,paib-gpu,,1000,,1,7,32,320,G2,20000,6400,<none>,
openb-pod-0028,paib-gpu,,16000,,1,5,100,1000,G2,20000,20000,<none>,
openb-pod-0029,paib-gpu,,4000,,1,5,22,220,G2,20000,4400,<none>,
openb-pod-0030,paib-gpu,,16000,,1,3,100,1000,V100M32,32510,32510,<none>,
openb-pod-0030-tuned-1115,paib-gpu,,16000,,1,7,100,1000,G2,20000,20000,<none>,
openb-pod-0031,paib-gpu,,16000,,1,1,100,1000,G3,30000,30000,<none>,
openb-pod-0033,paib-gpu,,3152,,1,0,100,1000,V100M16,16160,16160,V100M16|V100M32,
openb-pod-0034,paib-gpu,,16000,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0035,paib-gpu,,16000,,1,2,100,1000,G2,20000,20000,<none>,
openb-pod-0035-tuned-21,paib-gpu,,16000,,1,6,100,1000,G2,20000,20000,<none>,
openb-pod-0036,paib-gpu,,3152,,1,3,100,1000,V100M16,16160,16160,<none>,
openb-pod-0038,paib-gpu,,4000,,1,1,48,480,G2,20000,9600,<none>,
openb-pod-0039,paib-gpu,,4000,,1,1,5,50,T4,15109,755,T4,
openb-pod-0040,paib-gpu,,8000,,1,0,23,230,T4,15109,3475,<none>,
openb-pod-0041,paib-gpu,,3152,,1,7,100,1000,V100M32,32510,32510,P100|V100M16|V100M32,
openb-pod-0042,paib-gpu,,3152,,1,6,100,1000,G2,20000,20000,<none>,
