ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1296401.62,20.87,0.37,197017.26,3.17
1299581.72,20.92,0.42,199798.54,3.22
1300160.16,20.93,0.43,199829.74,3.22
1300669.5,20.94,0.45,199797.5,3.22
1300752.56,20.95,0.45,199946.54,3.22
1300985.86,20.95,0.46,199680.72,3.22
1301133.94,20.96,0.46,199249.84,3.21
1301367.25,20.97,0.47,198995.19,3.21
1301586.27,20.97,0.48,198672.63,3.2
1301416.59,20.97,0.47,198502.95,3.2
1301234.8,20.97,0.47,198292.55,3.2
1300510.84,20.96,0.46,197526.13,3.18
1300412.11,20.96,0.46,197464.77,3.18
1299878.15,20.96,0.46,196877.17,3.17
1299239.41,20.95,0.45,196131.77,3.16
1299748.76,20.96,0.46,196099.53,3.16
1299650.02,20.96,0.46,195894.13,3.16
1299541.29,20.96,0.46,195678.72,3.16
1299774.6,20.97,0.47,195424.08,3.15
1300007.9,20.97,0.48,195169.44,3.15
1301138.24,20.99,0.49,195962.45,3.16
1301194.28,20.99,0.5,195964.85,3.16
1302703.63,21.02,0.52,196932.61,3.18
1302950.86,21.03,0.53,196638.25,3.17
1303184.16,21.03,0.54,196383.61,3.17
1303417.47,21.04,0.54,196117.79,3.17
1303926.81,21.05,0.55,196085.55,3.17
1303392.85,21.05,0.55,195497.95,3.16
1302844.96,21.04,0.54,194950.06,3.15
1303092.2,21.05,0.55,194655.7,3.14
1302453.46,21.04,0.54,193910.3,3.13
1302700.7,21.05,0.55,193615.95,3.13
1302947.93,21.05,0.56,193321.59,3.12
1302947.93,21.05,0.56,193450.08,3.13
1302413.97,21.05,0.55,192862.48,3.12
1304004.01,21.07,0.58,194660.14,3.15
1304365.28,21.08,0.58,194914.73,3.15
1303641.32,21.07,0.57,194148.31,3.14
1303542.59,21.07,0.57,193942.91,3.14
1302804.7,21.06,0.57,193205.02,3.12
1301164.89,21.06,0.57,193201.79,3.13
1301412.13,21.07,0.57,192907.44,3.12
1301645.43,21.08,0.58,192641.62,3.12
1301097.54,21.07,0.58,192093.73,3.11
1300892.57,21.07,0.58,192058.9,3.11
1300687.59,21.07,0.58,192019.87,3.11
1300920.9,21.08,0.58,191754.05,3.11
1300863.01,21.08,0.58,191696.16,3.11
1301096.31,21.09,0.59,191441.52,3.1
1301168.45,21.09,0.59,192216.02,3.12
1301401.75,21.1,0.6,191961.38,3.11
1301980.2,21.11,0.61,191992.58,3.11
1302213.5,21.12,0.62,191726.76,3.11
1301665.61,21.11,0.61,191178.87,3.1
1302174.96,21.12,0.63,191146.63,3.1
1302408.26,21.13,0.63,190891.99,3.1
1302655.5,21.14,0.64,190597.63,3.09
1302902.73,21.15,0.65,190303.28,3.09
1303136.03,21.15,0.66,190037.46,3.08
1303369.34,21.16,0.66,189782.82,3.08
1302835.38,21.15,0.66,189206.4,3.07
1302835.38,21.15,0.66,189334.88,3.07
1302877.49,21.16,0.66,189376.99,3.08
1302877.49,21.16,0.66,189376.99,3.08
1304386.83,21.18,0.68,190344.75,3.09
1304620.14,21.19,0.69,190078.93,3.09
1304086.18,21.18,0.68,189502.51,3.08
1305676.23,21.21,0.71,191300.17,3.11
1306425.01,21.22,0.72,191549.69,3.11
1307173.79,21.24,0.74,191799.22,3.12
1307922.57,21.25,0.75,192048.75,3.12
1308431.91,21.26,0.76,192016.5,3.12
1308431.91,21.26,0.76,192016.5,3.12
1308679.14,21.27,0.77,191722.15,3.12
1308912.45,21.28,0.78,191467.51,3.11
1308378.49,21.27,0.77,190879.91,3.1
1308269.75,21.27,0.77,190664.5,3.1
1308161.02,21.27,0.77,190449.1,3.1
1309291.36,21.29,0.79,191242.11,3.11
1309192.63,21.29,0.79,191036.71,3.11
1309425.94,21.29,0.8,190782.07,3.1
