ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-id,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-event,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-pod_name,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-cum_pod
3207,create,paib-gpu/openb-pod-2425,3019
3208,create,paib-gpu/openb-pod-2230,3020
3209,create,paib-gpu/openb-pod-7992,3021
3210,create,paib-gpu/openb-pod-2829,3022
3211,create,paib-gpu/openb-pod-6396,3023
3212,create,paib-gpu/openb-pod-7379,3024
3213,create,paib-gpu/openb-pod-1287,3025
3214,create,paib-gpu/openb-pod-6095,3026
3215,create,paib-gpu/openb-pod-2097,3027
3216,create,paib-gpu/openb-pod-2298,3028
3217,create,paib-gpu/openb-pod-3778,3029
3218,create,paib-gpu/openb-pod-2683,3030
3219,create,paib-gpu/openb-pod-7001,3031
3220,create,paib-gpu/openb-pod-6055,3032
3221,create,paib-gpu/openb-pod-1856,3033
3222,create,paib-gpu/openb-pod-1022,3034
3223,create,paib-gpu/openb-pod-0975,3035
3224,create,paib-gpu/openb-pod-3367,3036
3225,create,paib-gpu/openb-pod-2534,3037
3226,failed,paib-gpu/openb-pod-2237,3037
3227,failed,paib-gpu/openb-pod-0363,3037
3228,create,paib-gpu/openb-pod-3989,3038
3229,failed,paib-gpu/openb-pod-3510,3038
3230,create,paib-gpu/openb-pod-3519,3039
3231,create,paib-gpu/openb-pod-4916,3040
3232,create,paib-gpu/openb-pod-2803,3041
3233,create,paib-gpu/openb-pod-6423,3042
3234,failed,paib-gpu/openb-pod-0484,3042
3235,create,paib-gpu/openb-pod-2475,3043
3236,create,paib-gpu/openb-pod-6111,3044
3237,create,paib-gpu/openb-pod-6108,3045
3238,create,paib-gpu/openb-pod-7844,3046
3239,create,paib-gpu/openb-pod-0868,3047
3240,create,paib-gpu/openb-pod-6737,3048
3241,create,paib-gpu/openb-pod-7088,3049
3242,create,paib-gpu/openb-pod-1137,3050
3243,create,paib-gpu/openb-pod-6182,3051
3244,failed,paib-gpu/openb-pod-2618,3051
3245,create,paib-gpu/openb-pod-6699,3052
3246,create,paib-gpu/openb-pod-1917,3053
3247,create,paib-gpu/openb-pod-3907,3054
3248,create,paib-gpu/openb-pod-6865,3055
3249,create,paib-gpu/openb-pod-0261,3056
3250,create,paib-gpu/openb-pod-0624,3057
3251,create,paib-gpu/openb-pod-6177,3058
3252,create,paib-gpu/openb-pod-1978,3059
3253,create,paib-gpu/openb-pod-5782,3060
3254,create,paib-gpu/openb-pod-4248,3061
3255,create,paib-gpu/openb-pod-1363,3062
3256,create,paib-gpu/openb-pod-5419,3063
3257,create,paib-gpu/openb-pod-0026,3064
3258,create,paib-gpu/openb-pod-5070,3065
3259,create,paib-gpu/openb-pod-1124,3066
3260,create,paib-gpu/openb-pod-4642,3067
3261,create,paib-gpu/openb-pod-8017,3068
3262,create,paib-gpu/openb-pod-4301,3069
3263,create,paib-gpu/openb-pod-8104,3070
3264,failed,paib-gpu/openb-pod-3118,3070
3265,create,paib-gpu/openb-pod-4494,3071
3266,create,paib-gpu/openb-pod-7891,3072
3267,create,paib-gpu/openb-pod-0537,3073
3268,create,paib-gpu/openb-pod-1119,3074
3269,create,paib-gpu/openb-pod-4189,3075
3270,create,paib-gpu/openb-pod-2437,3076
3271,failed,paib-gpu/openb-pod-7927,3076
3272,create,paib-gpu/openb-pod-0691,3077
3273,failed,paib-gpu/openb-pod-3121,3077
3274,create,paib-gpu/openb-pod-2792,3078
3275,failed,paib-gpu/openb-pod-1264,3078
3276,failed,paib-gpu/openb-pod-6152,3078
3277,create,paib-gpu/openb-pod-0434,3079
3278,create,paib-gpu/openb-pod-2422,3080
3279,create,paib-gpu/openb-pod-6085,3081
3280,create,paib-gpu/openb-pod-6998,3082
3281,create,paib-gpu/openb-pod-4213,3083
3282,create,paib-gpu/openb-pod-7298,3084
3283,create,paib-gpu/openb-pod-1222,3085
3284,create,paib-gpu/openb-pod-6245,3086
3285,create,paib-gpu/openb-pod-7546,3087
3286,create,paib-gpu/openb-pod-1537,3088
3287,create,paib-gpu/openb-pod-8042,3089
3288,failed,paib-gpu/openb-pod-4335,3089
3289,failed,paib-gpu/openb-pod-2788,3089
3290,create,paib-gpu/openb-pod-6743,3090
3291,create,paib-gpu/openb-pod-1100,3091
3292,create,paib-gpu/openb-pod-1608,3092
3293,failed,paib-gpu/openb-pod-5210,3092
3294,create,paib-gpu/openb-pod-7035,3093
3295,failed,paib-gpu/openb-pod-3317,3093
3296,create,paib-gpu/openb-pod-3163,3094
3297,create,paib-gpu/openb-pod-1699,3095
3298,create,paib-gpu/openb-pod-4620,3096
3299,create,paib-gpu/openb-pod-2650,3097
3300,create,paib-gpu/openb-pod-6491,3098
3301,create,paib-gpu/openb-pod-7994,3099
3302,create,paib-gpu/openb-pod-7262,3100
3303,create,paib-gpu/openb-pod-5107,3101
3304,failed,paib-gpu/openb-pod-4896,3101
3305,failed,paib-gpu/openb-pod-3653,3101
3306,create,paib-gpu/openb-pod-4317,3102
3307,create,paib-gpu/openb-pod-7959,3103
3308,create,paib-gpu/openb-pod-7572,3104
3309,create,paib-gpu/openb-pod-5141,3105
3310,create,paib-gpu/openb-pod-7038,3106
3311,create,paib-gpu/openb-pod-7083,3107
3312,create,paib-gpu/openb-pod-7284,3108
3313,create,paib-gpu/openb-pod-0041,3109
3314,create,paib-gpu/openb-pod-2941,3110
3315,create,paib-gpu/openb-pod-0447,3111
3316,create,paib-gpu/openb-pod-5709,3112
3317,create,paib-gpu/openb-pod-5989,3113
3318,create,paib-gpu/openb-pod-7870,3114
3319,failed,paib-gpu/openb-pod-5722,3114
3320,create,paib-gpu/openb-pod-5316,3115
3321,create,paib-gpu/openb-pod-2732,3116
3322,create,paib-gpu/openb-pod-4974,3117
3323,create,paib-gpu/openb-pod-7246,3118
3324,failed,paib-gpu/openb-pod-5715,3118
3325,create,paib-gpu/openb-pod-3286,3119
3326,create,paib-gpu/openb-pod-1110,3120
3327,failed,paib-gpu/openb-pod-3052,3120
3328,create,paib-gpu/openb-pod-7153,3121
3329,create,paib-gpu/openb-pod-1312,3122
3330,create,paib-gpu/openb-pod-1554,3123
3331,create,paib-gpu/openb-pod-4128,3124
3332,create,paib-gpu/openb-pod-4104,3125
3333,create,paib-gpu/openb-pod-4251,3126
3334,failed,paib-gpu/openb-pod-8006,3126
3335,create,paib-gpu/openb-pod-7487,3127
3336,create,paib-gpu/openb-pod-5395,3128
3337,create,paib-gpu/openb-pod-3170,3129
3338,failed,paib-gpu/openb-pod-6226,3129
3339,failed,paib-gpu/openb-pod-4155,3129
3340,create,paib-gpu/openb-pod-4551,3130
3341,create,paib-gpu/openb-pod-5290,3131
3342,create,paib-gpu/openb-pod-0107,3132
3343,failed,paib-gpu/openb-pod-3299,3132
3344,create,paib-gpu/openb-pod-7547,3133
3345,create,paib-gpu/openb-pod-2510,3134
3346,create,paib-gpu/openb-pod-0233,3135
3347,create,paib-gpu/openb-pod-6398,3136
3348,create,paib-gpu/openb-pod-3112,3137
3349,create,paib-gpu/openb-pod-6612,3138
3350,create,paib-gpu/openb-pod-7611,3139
3351,create,paib-gpu/openb-pod-4348,3140
3352,create,paib-gpu/openb-pod-6841,3141
3353,create,paib-gpu/openb-pod-7300,3142
3354,failed,paib-gpu/openb-pod-4076,3142
3355,create,paib-gpu/openb-pod-2719,3143
3356,failed,paib-gpu/openb-pod-4684,3143
3357,create,paib-gpu/openb-pod-6037,3144
3358,create,paib-gpu/openb-pod-6584,3145
3359,create,paib-gpu/openb-pod-0628,3146
3360,create,paib-gpu/openb-pod-3072,3147
3361,create,paib-gpu/openb-pod-4927,3148
3362,create,paib-gpu/openb-pod-4514,3149
3363,create,paib-gpu/openb-pod-2129,3150
3364,create,paib-gpu/openb-pod-0851,3151
3365,create,paib-gpu/openb-pod-2814,3152
3366,create,paib-gpu/openb-pod-5135,3153
3367,create,paib-gpu/openb-pod-0821,3154
3368,create,paib-gpu/openb-pod-3819,3155
3369,failed,paib-gpu/openb-pod-7654,3155
3370,create,paib-gpu/openb-pod-2341,3156
3371,create,paib-gpu/openb-pod-5960,3157
3372,create,paib-gpu/openb-pod-4399,3158
3373,create,paib-gpu/openb-pod-7584,3159
3374,create,paib-gpu/openb-pod-6172,3160
3375,create,paib-gpu/openb-pod-6856,3161
3376,create,paib-gpu/openb-pod-4985,3162
3377,create,paib-gpu/openb-pod-2959,3163
3378,create,paib-gpu/openb-pod-7375,3164
3379,create,paib-gpu/openb-pod-1624,3165
3380,create,paib-gpu/openb-pod-3565,3166
3381,create,paib-gpu/openb-pod-1665,3167
3382,create,paib-gpu/openb-pod-7954,3168
3383,create,paib-gpu/openb-pod-4779,3169
3384,create,paib-gpu/openb-pod-5224,3170
3385,create,paib-gpu/openb-pod-8092,3171
3386,create,paib-gpu/openb-pod-7348,3172
3387,create,paib-gpu/openb-pod-5755,3173
3388,create,paib-gpu/openb-pod-2976,3174
3389,create,paib-gpu/openb-pod-1584,3175
3390,failed,paib-gpu/openb-pod-1266,3175
3391,create,paib-gpu/openb-pod-5239,3176
3392,create,paib-gpu/openb-pod-4675,3177
3393,create,paib-gpu/openb-pod-1759,3178
3394,failed,paib-gpu/openb-pod-0981,3178
3395,create,paib-gpu/openb-pod-1272,3179
3396,create,paib-gpu/openb-pod-0964,3180
3397,create,paib-gpu/openb-pod-2658,3181
3398,create,paib-gpu/openb-pod-5262,3182
3399,create,paib-gpu/openb-pod-7230,3183
3400,create,paib-gpu/openb-pod-4499,3184
3401,failed,paib-gpu/openb-pod-3695,3184
3402,create,paib-gpu/openb-pod-6700,3185
3403,failed,paib-gpu/openb-pod-5297,3185
3404,create,paib-gpu/openb-pod-2507,3186
3405,create,paib-gpu/openb-pod-7531,3187
3406,create,paib-gpu/openb-pod-5083,3188
3407,create,paib-gpu/openb-pod-5596,3189
3408,failed,paib-gpu/openb-pod-4354,3189
3409,create,paib-gpu/openb-pod-6785,3190
3410,create,paib-gpu/openb-pod-5211,3191
3411,create,paib-gpu/openb-pod-3719,3192
3412,failed,paib-gpu/openb-pod-1534,3192
3413,create,paib-gpu/openb-pod-2140,3193
3414,create,paib-gpu/openb-pod-6494,3194
3415,create,paib-gpu/openb-pod-2029,3195
3416,create,paib-gpu/openb-pod-7271,3196
3417,create,paib-gpu/openb-pod-3017,3197
3418,create,paib-gpu/openb-pod-1350,3198
3419,create,paib-gpu/openb-pod-4424,3199
3420,create,paib-gpu/openb-pod-5001,3200
3421,failed,paib-gpu/openb-pod-0015,3200
3422,create,paib-gpu/openb-pod-7316,3201
3423,create,paib-gpu/openb-pod-5943,3202
3424,create,paib-gpu/openb-pod-4014,3203
3425,create,paib-gpu/openb-pod-4723,3204
3426,failed,paib-gpu/openb-pod-5819,3204
3427,create,paib-gpu/openb-pod-5397,3205
3428,create,paib-gpu/openb-pod-7916,3206
3429,create,paib-gpu/openb-pod-0483,3207
3430,create,paib-gpu/openb-pod-6731,3208
3431,create,paib-gpu/openb-pod-0404,3209
3432,create,paib-gpu/openb-pod-3215,3210
3433,failed,paib-gpu/openb-pod-2346,3210
3434,create,paib-gpu/openb-pod-4003,3211
3435,create,paib-gpu/openb-pod-0214,3212
3436,create,paib-gpu/openb-pod-4621,3213
3437,create,paib-gpu/openb-pod-5683,3214
3438,create,paib-gpu/openb-pod-4157,3215
3439,create,paib-gpu/openb-pod-1737,3216
3440,create,paib-gpu/openb-pod-3912,3217
3441,create,paib-gpu/openb-pod-7194,3218
3442,create,paib-gpu/openb-pod-6167,3219
3443,create,paib-gpu/openb-pod-1969,3220
3444,failed,paib-gpu/openb-pod-5595,3220
3445,failed,paib-gpu/openb-pod-1337,3220
3446,create,paib-gpu/openb-pod-6727,3221
3447,create,paib-gpu/openb-pod-1934,3222
3448,create,paib-gpu/openb-pod-6326,3223
3449,create,paib-gpu/openb-pod-5261,3224
3450,create,paib-gpu/openb-pod-0939,3225
3451,create,paib-gpu/openb-pod-4961,3226
3452,create,paib-gpu/openb-pod-3958,3227
3453,create,paib-gpu/openb-pod-3475,3228
3454,create,paib-gpu/openb-pod-1570,3229
3455,create,paib-gpu/openb-pod-5837,3230
3456,create,paib-gpu/openb-pod-1646,3231
3457,failed,paib-gpu/openb-pod-7042,3231
3458,create,paib-gpu/openb-pod-6128,3232
3459,create,paib-gpu/openb-pod-0876,3233
3460,create,paib-gpu/openb-pod-1001,3234
3461,create,paib-gpu/openb-pod-5623,3235
3462,create,paib-gpu/openb-pod-2053,3236
3463,create,paib-gpu/openb-pod-5618,3237
3464,create,paib-gpu/openb-pod-6713,3238
3465,create,paib-gpu/openb-pod-5140,3239
3466,create,paib-gpu/openb-pod-0540,3240
3467,create,paib-gpu/openb-pod-0850,3241
3468,create,paib-gpu/openb-pod-6315,3242
3469,create,paib-gpu/openb-pod-4066,3243
3470,create,paib-gpu/openb-pod-1821,3244
3471,create,paib-gpu/openb-pod-7589,3245
3472,create,paib-gpu/openb-pod-2484,3246
3473,create,paib-gpu/openb-pod-3842,3247
3474,create,paib-gpu/openb-pod-1405,3248
3475,create,paib-gpu/openb-pod-2977,3249
3476,create,paib-gpu/openb-pod-3815,3250
3477,create,paib-gpu/openb-pod-0725,3251
3478,failed,paib-gpu/openb-pod-1092,3251
3479,create,paib-gpu/openb-pod-3297,3252
3480,create,paib-gpu/openb-pod-3424,3253
3481,create,paib-gpu/openb-pod-1510,3254
3482,create,paib-gpu/openb-pod-0002,3255
3483,create,paib-gpu/openb-pod-0172,3256
3484,create,paib-gpu/openb-pod-7602,3257
3485,create,paib-gpu/openb-pod-0105,3258
3486,create,paib-gpu/openb-pod-2782,3259
3487,create,paib-gpu/openb-pod-3831,3260
3488,create,paib-gpu/openb-pod-0391,3261
3489,create,paib-gpu/openb-pod-3714,3262
3490,create,paib-gpu/openb-pod-0503,3263
3491,create,paib-gpu/openb-pod-2663,3264
3492,create,paib-gpu/openb-pod-7125,3265
3493,create,paib-gpu/openb-pod-5619,3266
3494,create,paib-gpu/openb-pod-7906,3267
3495,create,paib-gpu/openb-pod-2488,3268
3496,create,paib-gpu/openb-pod-7772,3269
3497,create,paib-gpu/openb-pod-0741,3270
3498,create,paib-gpu/openb-pod-2215,3271
3499,create,paib-gpu/openb-pod-8054,3272
3500,create,paib-gpu/openb-pod-2762,3273
3501,create,paib-gpu/openb-pod-1881,3274
3502,create,paib-gpu/openb-pod-4614,3275
3503,create,paib-gpu/openb-pod-8029,3276
3504,create,paib-gpu/openb-pod-7488,3277
3505,create,paib-gpu/openb-pod-7556,3278
3506,create,paib-gpu/openb-pod-1031,3279
3507,create,paib-gpu/openb-pod-1490,3280
3508,create,paib-gpu/openb-pod-2580,3281
3509,create,paib-gpu/openb-pod-4919,3282
3510,failed,paib-gpu/openb-pod-0895,3282
3511,create,paib-gpu/openb-pod-7117,3283
3512,create,paib-gpu/openb-pod-2154,3284
3513,create,paib-gpu/openb-pod-6640,3285
3514,create,paib-gpu/openb-pod-4548,3286
3515,create,paib-gpu/openb-pod-4570,3287
3516,create,paib-gpu/openb-pod-1315,3288
3517,create,paib-gpu/openb-pod-6756,3289
3518,create,paib-gpu/openb-pod-0087,3290
3519,create,paib-gpu/openb-pod-1642,3291
3520,failed,paib-gpu/openb-pod-6362,3291
3521,create,paib-gpu/openb-pod-4761,3292
3522,failed,paib-gpu/openb-pod-1441,3292
3523,create,paib-gpu/openb-pod-5702,3293
3524,create,paib-gpu/openb-pod-5538,3294
3525,create,paib-gpu/openb-pod-1320,3295
3526,create,paib-gpu/openb-pod-2924,3296
3527,create,paib-gpu/openb-pod-3372,3297
3528,create,paib-gpu/openb-pod-2478,3298
3529,create,paib-gpu/openb-pod-3202,3299
3530,failed,paib-gpu/openb-pod-2061,3299
3531,create,paib-gpu/openb-pod-0808,3300
3532,create,paib-gpu/openb-pod-7904,3301
3533,create,paib-gpu/openb-pod-1628,3302
3534,create,paib-gpu/openb-pod-4814,3303
3535,create,paib-gpu/openb-pod-1807,3304
3536,create,paib-gpu/openb-pod-4783,3305
3537,create,paib-gpu/openb-pod-2846,3306
3538,create,paib-gpu/openb-pod-2927,3307
3539,create,paib-gpu/openb-pod-3858,3308
3540,create,paib-gpu/openb-pod-6635,3309
3541,create,paib-gpu/openb-pod-2060,3310
3542,failed,paib-gpu/openb-pod-4209,3310
3543,create,paib-gpu/openb-pod-0450,3311
3544,create,paib-gpu/openb-pod-1851,3312
3545,create,paib-gpu/openb-pod-4225,3313
3546,failed,paib-gpu/openb-pod-1360,3313
3547,create,paib-gpu/openb-pod-2513,3314
3548,create,paib-gpu/openb-pod-1955,3315
3549,create,paib-gpu/openb-pod-7984,3316
3550,create,paib-gpu/openb-pod-5347,3317
3551,create,paib-gpu/openb-pod-0428,3318
3552,create,paib-gpu/openb-pod-6602,3319
3553,create,paib-gpu/openb-pod-5232,3320
3554,create,paib-gpu/openb-pod-3417,3321
3555,create,paib-gpu/openb-pod-3430,3322
3556,create,paib-gpu/openb-pod-1284,3323
3557,create,paib-gpu/openb-pod-6705,3324
3558,create,paib-gpu/openb-pod-4954,3325
3559,create,paib-gpu/openb-pod-2464,3326
3560,create,paib-gpu/openb-pod-7174,3327
3561,create,paib-gpu/openb-pod-2377,3328
3562,create,paib-gpu/openb-pod-8083,3329
3563,create,paib-gpu/openb-pod-4500,3330
3564,create,paib-gpu/openb-pod-0651,3331
3565,create,paib-gpu/openb-pod-0780,3332
3566,create,paib-gpu/openb-pod-7179,3333
3567,create,paib-gpu/openb-pod-3451,3334
3568,create,paib-gpu/openb-pod-8140,3335
3569,create,paib-gpu/openb-pod-5732,3336
3570,create,paib-gpu/openb-pod-2094,3337
3571,create,paib-gpu/openb-pod-2583,3338
3572,create,paib-gpu/openb-pod-1735,3339
3573,create,paib-gpu/openb-pod-7606,3340
3574,create,paib-gpu/openb-pod-7091,3341
3575,create,paib-gpu/openb-pod-3780,3342
3576,create,paib-gpu/openb-pod-5470,3343
3577,create,paib-gpu/openb-pod-2992,3344
3578,create,paib-gpu/openb-pod-1880,3345
3579,create,paib-gpu/openb-pod-2932,3346
3580,create,paib-gpu/openb-pod-2449,3347
3581,create,paib-gpu/openb-pod-5230,3348
3582,create,paib-gpu/openb-pod-0212,3349
3583,failed,paib-gpu/openb-pod-7190,3349
3584,create,paib-gpu/openb-pod-2769,3350
3585,create,paib-gpu/openb-pod-1980,3351
3586,create,paib-gpu/openb-pod-5821,3352
3587,create,paib-gpu/openb-pod-8009,3353
3588,create,paib-gpu/openb-pod-1422,3354
3589,create,paib-gpu/openb-pod-0360,3355
3590,create,paib-gpu/openb-pod-6861,3356
3591,create,paib-gpu/openb-pod-4131,3357
3592,create,paib-gpu/openb-pod-4670,3358
3593,create,paib-gpu/openb-pod-4660,3359
3594,create,paib-gpu/openb-pod-3351,3360
3595,create,paib-gpu/openb-pod-4038,3361
3596,create,paib-gpu/openb-pod-3827,3362
3597,create,paib-gpu/openb-pod-2458,3363
3598,failed,paib-gpu/openb-pod-0234,3363
3599,create,paib-gpu/openb-pod-3504,3364
3600,create,paib-gpu/openb-pod-3997,3365
3601,create,paib-gpu/openb-pod-4601,3366
3602,create,paib-gpu/openb-pod-5793,3367
3603,create,paib-gpu/openb-pod-0649,3368
3604,create,paib-gpu/openb-pod-3162,3369
3605,failed,paib-gpu/openb-pod-7040,3369
3606,create,paib-gpu/openb-pod-1530,3370
3607,create,paib-gpu/openb-pod-6597,3371
3608,create,paib-gpu/openb-pod-3541,3372
3609,create,paib-gpu/openb-pod-4034,3373
3610,create,paib-gpu/openb-pod-3512,3374
3611,create,paib-gpu/openb-pod-3668,3375
3612,create,paib-gpu/openb-pod-2128,3376
3613,create,paib-gpu/openb-pod-0645,3377
3614,create,paib-gpu/openb-pod-4372,3378
3615,create,paib-gpu/openb-pod-5643,3379
3616,failed,paib-gpu/openb-pod-5584,3379
3617,failed,paib-gpu/openb-pod-3587,3379
3618,create,paib-gpu/openb-pod-7963,3380
3619,failed,paib-gpu/openb-pod-5657,3380
3620,create,paib-gpu/openb-pod-1596,3381
3621,create,paib-gpu/openb-pod-0564,3382
3622,create,paib-gpu/openb-pod-1605,3383
3623,create,paib-gpu/openb-pod-8024,3384
3624,create,paib-gpu/openb-pod-1569,3385
3625,failed,paib-gpu/openb-pod-4612,3385
3626,create,paib-gpu/openb-pod-4094,3386
3627,failed,paib-gpu/openb-pod-7917,3386
3628,create,paib-gpu/openb-pod-4133,3387
3629,create,paib-gpu/openb-pod-3508,3388
3630,create,paib-gpu/openb-pod-2264,3389
3631,create,paib-gpu/openb-pod-5885,3390
3632,create,paib-gpu/openb-pod-4425,3391
3633,failed,paib-gpu/openb-pod-7791,3391
3634,create,paib-gpu/openb-pod-6563,3392
3635,create,paib-gpu/openb-pod-3678,3393
3636,create,paib-gpu/openb-pod-2183,3394
3637,create,paib-gpu/openb-pod-5039,3395
3638,create,paib-gpu/openb-pod-7830,3396
3639,create,paib-gpu/openb-pod-5519,3397
3640,create,paib-gpu/openb-pod-2582,3398
3641,create,paib-gpu/openb-pod-1687,3399
3642,create,paib-gpu/openb-pod-3102,3400
3643,failed,paib-gpu/openb-pod-6358,3400
3644,create,paib-gpu/openb-pod-2068,3401
3645,create,paib-gpu/openb-pod-6969,3402
3646,create,paib-gpu/openb-pod-2699,3403
3647,create,paib-gpu/openb-pod-1940,3404
3648,create,paib-gpu/openb-pod-6096,3405
3649,create,paib-gpu/openb-pod-2462,3406
3650,create,paib-gpu/openb-pod-2200,3407
3651,create,paib-gpu/openb-pod-2485,3408
3652,failed,paib-gpu/openb-pod-0836,3408
3653,failed,paib-gpu/openb-pod-2266,3408
3654,create,paib-gpu/openb-pod-6538,3409
3655,create,paib-gpu/openb-pod-8005,3410
3656,create,paib-gpu/openb-pod-4872,3411
3657,create,paib-gpu/openb-pod-4960,3412
3658,create,paib-gpu/openb-pod-5030,3413
3659,create,paib-gpu/openb-pod-7499,3414
3660,failed,paib-gpu/openb-pod-7045,3414
3661,create,paib-gpu/openb-pod-2495,3415
3662,create,paib-gpu/openb-pod-1709,3416
3663,create,paib-gpu/openb-pod-5447,3417
3664,create,paib-gpu/openb-pod-4090,3418
3665,create,paib-gpu/openb-pod-3198,3419
3666,create,paib-gpu/openb-pod-3144,3420
3667,create,paib-gpu/openb-pod-3401,3421
3668,create,paib-gpu/openb-pod-1221,3422
3669,create,paib-gpu/openb-pod-7446,3423
3670,failed,paib-gpu/openb-pod-3359,3423
3671,create,paib-gpu/openb-pod-2373,3424
3672,create,paib-gpu/openb-pod-3039,3425
3673,create,paib-gpu/openb-pod-3370,3426
3674,create,paib-gpu/openb-pod-1531,3427
3675,create,paib-gpu/openb-pod-0264,3428
3676,create,paib-gpu/openb-pod-1947,3429
3677,failed,paib-gpu/openb-pod-6311,3429
3678,create,paib-gpu/openb-pod-0573,3430
3679,create,paib-gpu/openb-pod-2558,3431
3680,create,paib-gpu/openb-pod-7666,3432
3681,create,paib-gpu/openb-pod-1965,3433
3682,create,paib-gpu/openb-pod-1234,3434
3683,create,paib-gpu/openb-pod-5956,3435
3684,failed,paib-gpu/openb-pod-0966,3435
3685,failed,paib-gpu/openb-pod-5185,3435
3686,create,paib-gpu/openb-pod-5015,3436
3687,create,paib-gpu/openb-pod-6499,3437
3688,create,paib-gpu/openb-pod-4270,3438
3689,create,paib-gpu/openb-pod-5311,3439
3690,create,paib-gpu/openb-pod-6543,3440
3691,create,paib-gpu/openb-pod-3164,3441
3692,create,paib-gpu/openb-pod-3296,3442
3693,create,paib-gpu/openb-pod-8134,3443
3694,create,paib-gpu/openb-pod-2697,3444
3695,create,paib-gpu/openb-pod-0198,3445
3696,create,paib-gpu/openb-pod-3125,3446
3697,create,paib-gpu/openb-pod-4780,3447
3698,create,paib-gpu/openb-pod-7518,3448
3699,create,paib-gpu/openb-pod-6200,3449
3700,create,paib-gpu/openb-pod-4091,3450
3701,create,paib-gpu/openb-pod-6472,3451
3702,failed,paib-gpu/openb-pod-8099,3451
3703,failed,paib-gpu/openb-pod-3854,3451
3704,create,paib-gpu/openb-pod-1150,3452
3705,failed,paib-gpu/openb-pod-7489,3452
3706,create,paib-gpu/openb-pod-2151,3453
3707,create,paib-gpu/openb-pod-1928,3454
3708,create,paib-gpu/openb-pod-1108,3455
3709,create,paib-gpu/openb-pod-5848,3456
3710,create,paib-gpu/openb-pod-1908,3457
3711,create,paib-gpu/openb-pod-4135,3458
3712,create,paib-gpu/openb-pod-5062,3459
3713,create,paib-gpu/openb-pod-3434,3460
3714,failed,paib-gpu/openb-pod-7415,3460
3715,create,paib-gpu/openb-pod-5479,3461
3716,failed,paib-gpu/openb-pod-1390,3461
3717,failed,paib-gpu/openb-pod-1804,3461
3718,create,paib-gpu/openb-pod-0736,3462
3719,create,paib-gpu/openb-pod-3523,3463
3720,failed,paib-gpu/openb-pod-7988,3463
3721,create,paib-gpu/openb-pod-1705,3464
3722,create,paib-gpu/openb-pod-1951,3465
3723,create,paib-gpu/openb-pod-6478,3466
3724,create,paib-gpu/openb-pod-2840,3467
3725,failed,paib-gpu/openb-pod-6287,3467
3726,create,paib-gpu/openb-pod-6780,3468
3727,failed,paib-gpu/openb-pod-0300,3468
3728,create,paib-gpu/openb-pod-3209,3469
3729,create,paib-gpu/openb-pod-3784,3470
3730,create,paib-gpu/openb-pod-3755,3471
3731,create,paib-gpu/openb-pod-1716,3472
3732,failed,paib-gpu/openb-pod-6017,3472
3733,create,paib-gpu/openb-pod-5409,3473
3734,failed,paib-gpu/openb-pod-5417,3473
3735,create,paib-gpu/openb-pod-3888,3474
3736,failed,paib-gpu/openb-pod-3429,3474
3737,failed,paib-gpu/openb-pod-2999,3474
3738,create,paib-gpu/openb-pod-4130,3475
3739,create,paib-gpu/openb-pod-4106,3476
3740,create,paib-gpu/openb-pod-0782,3477
3741,create,paib-gpu/openb-pod-5662,3478
3742,create,paib-gpu/openb-pod-0874,3479
3743,failed,paib-gpu/openb-pod-1090,3479
3744,create,paib-gpu/openb-pod-4144,3480
3745,create,paib-gpu/openb-pod-7950,3481
3746,create,paib-gpu/openb-pod-6406,3482
3747,create,paib-gpu/openb-pod-7897,3483
3748,create,paib-gpu/openb-pod-1353,3484
3749,failed,paib-gpu/openb-pod-8142,3484
3750,create,paib-gpu/openb-pod-0759,3485
3751,create,paib-gpu/openb-pod-2292,3486
3752,create,paib-gpu/openb-pod-7118,3487
3753,create,paib-gpu/openb-pod-1853,3488
3754,create,paib-gpu/openb-pod-6149,3489
3755,create,paib-gpu/openb-pod-2256,3490
3756,create,paib-gpu/openb-pod-3456,3491
3757,create,paib-gpu/openb-pod-5725,3492
3758,failed,paib-gpu/openb-pod-4627,3492
3759,create,paib-gpu/openb-pod-0010,3493
3760,create,paib-gpu/openb-pod-0678,3494
3761,create,paib-gpu/openb-pod-6634,3495
3762,create,paib-gpu/openb-pod-2950,3496
3763,create,paib-gpu/openb-pod-6298,3497
3764,create,paib-gpu/openb-pod-6911,3498
3765,failed,paib-gpu/openb-pod-2497,3498
3766,create,paib-gpu/openb-pod-0587,3499
3767,create,paib-gpu/openb-pod-7876,3500
3768,failed,paib-gpu/openb-pod-0640,3500
3769,failed,paib-gpu/openb-pod-2742,3500
3770,failed,paib-gpu/openb-pod-4609,3500
3771,create,paib-gpu/openb-pod-7273,3501
3772,failed,paib-gpu/openb-pod-3532,3501
