ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
879714.42,14.16,1.47,588033.72,9.47
879082.93,14.16,1.46,587294.56,9.46
878981.44,14.16,1.46,587085.4,9.45
878787.93,14.15,1.46,586899.9,9.45
878606.44,14.15,1.46,586610.74,9.45
878437.45,14.15,1.46,586496.42,9.45
878243.94,14.15,1.46,586339.41,9.45
877612.45,14.14,1.45,585600.25,9.44
877612.45,14.14,1.45,585378.89,9.43
877443.46,14.14,1.45,585248.36,9.43
877688.48,14.15,1.46,585478.82,9.44
877056.99,14.14,1.45,584869.57,9.43
876888.0,14.14,1.45,584755.25,9.43
876256.5,14.13,1.44,584016.09,9.42
875894.0,14.13,1.44,583744.76,9.42
875894.0,14.13,1.44,583744.76,9.42
875451.28,14.13,1.43,583194.37,9.41
875292.51,14.12,1.43,583035.6,9.41
874661.02,14.12,1.42,582296.44,9.4
873993.24,14.11,1.42,581690.97,9.39
873747.3,14.11,1.42,581337.36,9.39
873553.79,14.11,1.42,581180.35,9.39
873384.8,14.11,1.42,580978.54,9.39
872942.08,14.1,1.41,580428.15,9.38
872748.57,14.1,1.41,580358.63,9.38
872748.57,14.1,1.41,580358.63,9.38
872579.58,14.1,1.41,580244.31,9.38
872136.86,14.1,1.41,579693.92,9.37
871943.35,14.1,1.4,579536.91,9.37
871311.86,14.09,1.4,578927.66,9.36
