ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fa36-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
32,74,43670,6212,43670
32,74,44140,6212,44140
32,74,44610,6212,44610
32,74,44930,6212,44930
33,76,45930,6212,45930
33,76,46480,6212,46480
33,76,47480,6212,47480
33,76,47850,6212,47850
33,76,48310,6212,48310
34,78,49310,6212,49310
34,78,49310,6212,49310
34,78,50120,6212,50120
34,78,50120,6212,50120
34,78,50770,6212,50770
34,78,51580,6212,51580
34,78,52580,6212,52580
34,78,53390,6212,53390
35,80,53860,6212,53860
35,80,54330,6212,54330
35,80,55140,6212,55140
36,88,55950,6212,55950
36,88,56950,6212,56950
36,88,56950,6212,56950
36,88,57420,6212,57420
37,96,65420,6212,65420
37,96,65420,6212,65420
37,96,66070,6212,66070
37,96,66880,6212,66880
37,96,67110,6212,67110
37,96,67110,6212,67110
37,96,67920,6212,67920
37,96,67920,6212,67920
37,96,68920,6212,68920
37,96,69730,6212,69730
37,96,70200,6212,70200
38,98,71200,6212,71200
38,98,71850,6212,71850
39,100,72660,6212,72660
39,100,72980,6212,72980
39,100,73980,6212,73980
40,108,74790,6212,74790
40,108,75110,6212,75110
40,108,75570,6212,75570
40,108,75940,6212,75940
40,108,76410,6212,76410
40,108,77220,6212,77220
40,108,77870,6212,77870
40,108,78870,6212,78870
40,108,79100,6212,79100
40,108,80100,6212,80100
40,108,80570,6212,80570
41,110,81570,6212,81570
41,110,82570,6212,82570
41,110,82570,6212,82570
41,110,82800,6212,82800
41,110,83610,6212,83610
42,118,84420,6212,84420
42,118,85230,6212,85230
42,118,86230,6212,86230
42,118,86550,6212,86550
42,118,87020,6212,87020
42,118,87670,6212,87670
42,118,88110,6212,88110
42,118,88580,6212,88580
42,118,89390,6212,89390
42,118,89850,6212,89850
42,118,89850,6212,89850
42,118,89850,6212,89850
42,118,90850,6212,90850
43,126,91660,6212,91660
43,126,92660,6212,92660
43,126,93250,6212,93250
43,126,93570,6212,93570
43,126,93570,6212,93570
43,126,93790,6212,93790
43,126,94790,6212,94790
43,126,95600,6212,95600
43,126,95600,6212,95600
43,126,96070,6212,96070
43,126,97070,6212,97070
43,126,97880,6212,97880
43,126,98690,6212,98690
43,126,98690,6212,98690
43,126,98690,6212,98690
43,126,98690,6212,98690
44,134,99690,6212,99690
44,134,100690,6212,100690
44,134,101500,6212,101500
44,134,101970,6212,101970
44,134,101970,6212,101970
44,134,102290,6212,102290
44,134,102760,6212,102760
44,134,102760,6212,102760
44,134,103570,6212,103570
44,134,103800,6212,103800
44,134,104800,6212,104800
44,134,105390,6212,105390
44,134,106200,6212,106200
45,136,107010,6212,107010
45,136,107330,6212,107330
45,136,107800,6212,107800
46,144,108800,6212,108800
46,144,108800,6212,108800
46,144,109120,6212,109120
46,144,109350,6212,109350
46,144,110350,6212,110350
46,144,111350,6212,111350
46,144,112160,6212,112160
46,144,112810,6212,112810
46,144,113810,6212,113810
46,144,114810,6212,114810
46,144,115620,6212,115620
47,146,116090,6212,116090
47,146,116320,6212,116320
47,146,117130,6212,117130
48,148,117940,6212,117940
48,148,118750,6212,118750
48,148,119070,6212,119070
49,156,120070,6212,120070
49,156,120390,6212,120390
49,156,121200,6212,121200
49,156,121660,6212,121660
49,156,122470,6212,122470
49,156,123120,6212,123120
49,156,123930,6212,123930
49,156,123930,6212,123930
49,156,124740,6212,124740
49,156,124850,6212,124850
49,156,125170,6212,125170
49,156,125720,6212,125720
49,156,125720,6212,125720
50,158,126530,6212,126530
50,158,127340,6212,127340
51,166,128150,6212,128150
51,166,128960,6212,128960
51,166,129610,6212,129610
51,166,129830,6212,129830
51,166,130300,6212,130300
51,166,131110,6212,131110
51,166,131920,6212,131920
51,166,132920,6212,132920
51,166,132920,6212,132920
51,166,133150,6212,133150
51,166,133150,6212,133150
51,166,133380,6212,133380
51,166,133610,6212,133610
51,166,134420,6212,134420
52,168,135230,6212,135230
52,168,135700,6212,135700
52,168,136160,6212,136160
53,176,137160,6212,137160
54,178,137970,6212,137970
54,178,138440,6212,138440
54,178,139250,6212,139250
54,178,139410,6212,139410
54,178,140220,6212,140220
54,178,141030,6212,141030
54,178,141680,6212,141680
54,178,142150,6212,142150
54,178,142610,6212,142610
54,178,143080,6212,143080
54,178,143080,6212,143080
54,178,143890,6212,143890
54,178,144890,6212,144890
55,186,145360,6212,145360
55,186,146170,6212,146170
55,186,146760,6212,146760
55,186,147220,6212,147220
55,186,148030,6212,148030
55,186,148500,6212,148500
55,186,148970,6212,148970
55,186,149620,6212,149620
55,186,150430,6212,150430
55,186,151430,6212,151430
56,194,152240,6212,152240
56,194,152240,6212,152240
56,194,153240,6212,153240
56,194,153240,6212,153240
56,194,153240,6212,153240
56,194,154240,6212,154240
56,194,155050,6212,155050
56,194,155860,6212,155860
56,194,156860,6212,156860
56,194,157670,6212,157670
56,194,158670,6212,158670
57,198,159480,6212,159480
57,198,160290,6212,160290
57,198,161290,6212,161290
57,198,162100,6212,162100
57,198,162420,6212,162420
58,200,163230,6212,163230
58,200,163230,6212,163230
58,200,164040,6212,164040
58,200,164360,6212,164360
59,204,165360,6212,165360
59,204,166170,6212,166170
59,204,166640,6212,166640
60,212,167290,6212,167290
60,212,167510,6212,167510
60,212,168320,6212,168320
60,212,168320,6212,168320
60,212,168320,6212,168320
60,212,169320,6212,169320
60,212,169590,6212,169590
60,212,170400,6212,170400
60,212,170400,6212,170400
60,212,171050,6212,171050
60,212,171370,6212,171370
60,212,171840,6212,171840
60,212,172650,6212,172650
60,212,173460,6212,173460
60,212,173780,6212,173780
60,212,173780,6212,173780
60,212,174780,6212,174780
60,212,175430,6212,175430
61,214,175900,6212,175900
61,214,176710,6212,176710
62,222,177520,6212,177520
62,222,177840,6212,177840
62,222,178160,6212,178160
62,222,179160,6212,179160
62,222,179620,6212,179620
62,222,179940,6212,179940
62,222,180410,6212,180410
62,222,181220,6212,181220
62,222,182220,6212,182220
62,222,183220,6212,183220
62,222,184030,6212,184030
62,222,185030,6212,185030
63,224,185840,6212,185840
63,224,186650,6212,186650
64,226,187650,6212,187650
64,226,187650,6212,187650
64,226,187650,6212,187650
64,226,188120,6212,188120
64,226,188590,6212,188590
65,234,189240,6212,189240
65,234,190050,6212,190050
65,234,190860,6212,190860
65,234,191670,6212,191670
65,234,191670,6212,191670
65,234,191830,6212,191830
65,234,191830,6212,191830
65,234,192300,6212,192300
65,234,193300,6212,193300
65,234,194300,6212,194300
65,234,194530,6212,194530
65,234,195340,6212,195340
65,234,195710,6212,195710
65,234,195710,6212,195710
65,234,195710,6212,195710
66,236,196520,6212,196520
66,236,197520,6212,197520
67,238,198330,6212,198330
67,238,199140,6212,199140
68,246,199950,6212,199950
68,246,200950,6212,200950
68,246,201420,6212,201420
68,246,202420,6212,202420
68,246,202420,6212,202420
68,246,202740,6212,202740
68,246,202740,6212,202740
68,246,202970,6212,202970
68,246,203190,6212,203190
68,246,203350,6212,203350
69,254,204350,6212,204350
69,254,204670,6212,204670
69,254,204670,6212,204670
69,254,204670,6212,204670
69,254,205480,6212,205480
69,254,206030,6212,206030
69,254,206500,6212,206500
70,258,207050,6212,207050
70,258,207600,6212,207600
70,258,208410,6212,208410
70,258,209220,6212,209220
71,260,210030,6212,210030
71,260,211030,6212,211030
71,260,211840,6212,211840
71,260,212490,6212,212490
71,260,213080,6212,213080
71,260,213080,6212,213080
71,260,213890,6212,213890
71,260,214350,6212,214350
71,260,215160,6212,215160
71,260,215160,6212,215160
71,260,215970,6212,215970
71,260,216620,6212,216620
71,260,216940,6212,216940
71,260,217170,6212,217170
72,268,217720,6212,217720
72,268,217880,6212,217880
72,268,218340,6212,218340
72,268,218820,6212,218820
72,268,219820,6212,219820
72,268,219820,6212,219820
72,268,220050,6212,220050
72,268,220050,6212,220050
72,268,220520,6212,220520
72,268,221330,6212,221330
72,268,222140,6212,222140
72,268,222610,6212,222610
72,268,222610,6212,222610
72,268,223070,6212,223070
72,268,223540,6212,223540
72,268,223860,6212,223860
72,268,224330,6212,224330
73,276,224980,6212,224980
73,276,225980,6212,225980
73,276,226980,6212,226980
73,276,227630,6212,227630
73,276,228100,6212,228100
73,276,228560,6212,228560
73,276,229210,6212,229210
73,276,229680,6212,229680
73,276,230490,6212,230490
73,276,231490,6212,231490
74,284,232140,6212,232140
74,284,232610,6212,232610
74,284,232610,6212,232610
74,284,233610,6212,233610
74,284,233930,6212,233930
74,284,234410,6212,234410
74,284,235220,6212,235220
74,284,236030,6212,236030
74,284,236500,6212,236500
74,284,236500,6212,236500
74,284,236500,6212,236500
74,284,237310,6212,237310
74,284,237780,6212,237780
74,284,237780,6212,237780
74,284,237940,6212,237940
74,284,238750,6212,238750
75,292,239400,6212,239400
76,294,240400,6212,240400
76,294,241400,6212,241400
76,294,241870,6212,241870
76,294,242340,6212,242340
76,294,242340,6212,242340
76,294,243150,6212,243150
76,294,243960,6212,243960
76,294,243960,6212,243960
76,294,244960,6212,244960
76,294,245770,6212,245770
76,294,245990,6212,245990
76,294,246460,6212,246460
76,294,247270,6212,247270
76,294,247500,6212,247500
76,294,247970,6212,247970
77,296,248970,6212,248970
77,296,249130,6212,249130
77,296,250130,6212,250130
78,300,250780,6212,250780
79,302,251590,6212,251590
79,302,252140,6212,252140
79,302,252950,6212,252950
79,302,253420,6212,253420
79,302,253420,6212,253420
79,302,254230,6212,254230
80,304,255230,6212,255230
80,304,255690,6212,255690
80,304,256150,6212,256150
80,304,256150,6212,256150
80,304,256620,6212,256620
81,312,257620,6212,257620
81,312,257620,6212,257620
81,312,258430,6212,258430
81,312,259240,6212,259240
81,312,259890,6212,259890
81,312,260890,6212,260890
81,312,261890,6212,261890
81,312,262360,6212,262360
81,312,263170,6212,263170
82,320,263980,6212,263980
82,320,264450,6212,264450
82,320,264920,6212,264920
82,320,265920,6212,265920
82,320,266250,6212,266250
82,320,267250,6212,267250
82,320,268250,6212,268250
82,320,269250,6212,269250
82,320,270250,6212,270250
82,320,271060,6212,271060
82,320,271060,6212,271060
83,328,271710,6212,271710
83,328,272360,6212,272360
83,328,272360,6212,272360
83,328,272950,6212,272950
83,328,273110,6212,273110
83,328,273430,6212,273430
83,328,274430,6212,274430
83,328,275430,6212,275430
83,328,276240,6212,276240
83,328,276710,6212,276710
83,328,277520,6212,277520
83,328,278520,6212,278520
84,330,279330,6212,279330
84,330,279800,6212,279800
84,330,279800,6212,279800
85,332,280610,6212,280610
85,332,280610,6212,280610
85,332,281080,6212,281080
85,332,281730,6212,281730
85,332,281780,6212,281780
85,332,281780,6212,281780
86,334,282250,6212,282250
86,334,282360,6212,282360
86,334,282360,6212,282360
87,336,283360,6212,283360
87,336,283680,6212,283680
87,336,284490,6212,284490
87,336,284950,6212,284950
87,336,285760,6212,285760
87,336,285760,6212,285760
87,336,285990,6212,285990
87,336,285990,6212,285990
88,344,286990,6212,286990
88,344,287460,6212,287460
88,344,287930,6212,287930
88,344,288740,6212,288740
88,344,289330,6212,289330
88,344,289800,6212,289800
88,344,290800,6212,290800
88,344,291030,6212,291030
88,344,291350,6212,291350
89,352,292350,6212,292350
89,352,293350,6212,293350
89,352,294350,6212,294350
89,352,295160,6212,295160
89,352,295160,6212,295160
89,352,296160,6212,296160
89,352,296630,6212,296630
89,352,296950,6212,296950
89,352,297950,6212,297950
89,352,298270,6212,298270
89,352,298820,6212,298820
89,352,298820,6212,298820
89,352,299290,6212,299290
89,352,299520,6212,299520
89,352,299990,6212,299990
89,352,299990,6212,299990
89,352,300800,6212,300800
89,352,300800,6212,300800
89,352,301030,6212,301030
90,354,301500,6212,301500
90,354,301970,6212,301970
90,354,302780,6212,302780
90,354,303780,6212,303780
91,356,304590,6212,304590
91,356,305400,6212,305400
91,356,305400,6212,305400
91,356,305400,6212,305400
91,356,305630,6212,305630
92,364,306630,6212,306630
92,364,307630,6212,307630
92,364,308100,6212,308100
92,364,308570,6212,308570
92,364,309570,6212,309570
92,364,310570,6212,310570
93,372,311570,6212,311570
93,372,312040,6212,312040
93,372,312510,6212,312510
93,372,312510,6212,312510
93,372,313320,6212,313320
93,372,314320,6212,314320
93,372,315130,6212,315130
93,372,316130,6212,316130
93,372,316780,6212,316780
93,372,317250,6212,317250
93,372,317480,6212,317480
93,372,317800,6212,317800
93,372,318120,6212,318120
93,372,318930,6212,318930
93,372,319740,6212,319740
93,372,320210,6212,320210
93,372,320760,6212,320760
94,380,321760,6212,321760
94,380,322410,6212,322410
94,380,322410,6212,322410
94,380,323410,6212,323410
94,380,324410,6212,324410
94,380,325410,6212,325410
94,380,325730,6212,325730
94,380,326280,6212,326280
94,380,326280,6212,326280
94,380,327090,6212,327090
94,380,327410,6212,327410
94,380,327880,6212,327880
94,380,328350,6212,328350
95,382,329000,6212,329000
95,382,330000,6212,330000
96,384,331000,6212,331000
96,384,332000,6212,332000
97,392,332590,6212,332590
97,392,333240,6212,333240
97,392,333710,6212,333710
97,392,334710,6212,334710
97,392,335030,6212,335030
97,392,335030,6212,335030
97,392,336030,6212,336030
97,392,336030,6212,336030
97,392,336030,6212,336030
97,392,337030,6212,337030
97,392,338030,6212,338030
97,392,339030,6212,339030
97,392,339030,6212,339030
98,400,339840,6212,339840
98,400,340650,6212,340650
98,400,341650,6212,341650
98,400,342120,6212,342120
98,400,342930,6212,342930
98,400,343150,6212,343150
98,400,343800,6212,343800
98,400,343800,6212,343800
98,400,344800,6212,344800
98,400,345130,6212,345130
98,400,345940,6212,345940
98,400,346750,6212,346750
99,402,347400,6212,347400
99,402,347720,6212,347720
99,402,348370,6212,348370
100,410,349370,6212,349370
100,410,349840,6212,349840
100,410,350650,6212,350650
100,410,350880,6212,350880
100,410,351880,6212,351880
100,410,351880,6212,351880
100,410,352110,6212,352110
100,410,352340,6212,352340
100,410,352810,6212,352810
100,410,352810,6212,352810
100,410,353620,6212,353620
100,410,354620,6212,354620
100,410,355430,6212,355430
100,410,356430,6212,356430
101,412,357430,6212,357430
101,412,358240,6212,358240
101,412,358240,6212,358240
101,412,358240,6212,358240
102,420,358700,6212,358700
102,420,358700,6212,358700
102,420,358700,6212,358700
103,422,359290,6212,359290
104,430,367290,6212,367290
104,430,367940,6212,367940
104,430,368410,6212,368410
104,430,369220,6212,369220
104,430,370030,6212,370030
104,430,370840,6212,370840
104,430,371840,6212,371840
104,430,372160,6212,372160
104,430,373160,6212,373160
104,430,373390,6212,373390
104,430,374200,6212,374200
104,430,374200,6212,374200
104,430,375010,6212,375010
105,434,375820,6212,375820
105,434,376630,6212,376630
106,442,377100,6212,377100
106,442,377100,6212,377100
106,442,377570,6212,377570
106,442,378040,6212,378040
106,442,379040,6212,379040
106,442,379040,6212,379040
106,442,379150,6212,379150
106,442,379150,6212,379150
106,442,380150,6212,380150
106,442,380150,6212,380150
106,442,381150,6212,381150
106,442,381470,6212,381470
106,442,381470,6212,381470
106,442,381470,6212,381470
106,442,382470,6212,382470
106,442,383280,6212,383280
106,442,383750,6212,383750
106,442,383860,6212,383860
106,442,384670,6212,384670
106,442,385140,6212,385140
106,442,385950,6212,385950
106,442,386420,6212,386420
107,444,386890,6212,386890
107,444,387360,6212,387360
107,444,387360,6212,387360
107,444,387360,6212,387360
107,444,388170,6212,388170
108,452,388640,6212,388640
108,452,389110,6212,389110
108,452,389920,6212,389920
108,452,390730,6212,390730
108,452,390730,6212,390730
108,452,391200,6212,391200
108,452,391670,6212,391670
108,452,392480,6212,392480
108,452,393290,6212,393290
108,452,394290,6212,394290
108,452,395100,6212,395100
109,460,396100,6212,396100
109,460,397100,6212,397100
109,460,397910,6212,397910
109,460,398910,6212,398910
109,460,399720,6212,399720
109,460,400530,6212,400530
109,460,401530,6212,401530
109,460,402530,6212,402530
110,468,403010,6212,403010
110,468,404010,6212,404010
110,468,404820,6212,404820
110,468,405820,6212,405820
110,468,406630,6212,406630
110,468,406630,6212,406630
110,468,407100,6212,407100
110,468,407570,6212,407570
111,476,411570,6212,411570
111,476,411890,6212,411890
111,476,412890,6212,412890
111,476,413360,6212,413360
111,476,414170,6212,414170
111,476,414640,6212,414640
111,476,414640,6212,414640
111,476,415110,6212,415110
111,476,416110,6212,416110
112,478,416920,6212,416920
112,478,416920,6212,416920
112,478,417150,6212,417150
112,478,417150,6212,417150
112,478,418150,6212,418150
112,478,418150,6212,418150
113,486,418620,6212,418620
113,486,419090,6212,419090
113,486,419560,6212,419560
113,486,420560,6212,420560
113,486,421560,6212,421560
113,486,422560,6212,422560
113,486,422560,6212,422560
113,486,422890,6212,422890
113,486,423890,6212,423890
113,486,424540,6212,424540
113,486,425350,6212,425350
113,486,426350,6212,426350
113,486,427160,6212,427160
114,488,428160,6212,428160
114,488,428970,6212,428970
114,488,429200,6212,429200
114,488,429200,6212,429200
114,488,429200,6212,429200
114,488,429670,6212,429670
115,490,430480,6212,430480
115,490,430800,6212,430800
115,490,431270,6212,431270
116,492,432270,6212,432270
116,492,433270,6212,433270
117,494,434080,6212,434080
118,502,435080,6212,435080
118,502,435890,6212,435890
118,502,436480,6212,436480
118,502,437480,6212,437480
118,502,437950,6212,437950
118,502,438270,6212,438270
118,502,438740,6212,438740
118,502,439210,6212,439210
118,502,439800,6212,439800
118,502,440800,6212,440800
118,502,440800,6212,440800
118,502,441800,6212,441800
118,502,442270,6212,442270
119,504,442740,6212,442740
119,504,443210,6212,443210
119,504,443860,6212,443860
120,512,444670,6212,444670
120,512,445320,6212,445320
120,512,445690,6212,445690
120,512,446160,6212,446160
120,512,446630,6212,446630
120,512,447440,6212,447440
120,512,447900,6212,447900
120,512,448710,6212,448710
120,512,449360,6212,449360
120,512,450360,6212,450360
121,514,451170,6212,451170
121,514,451540,6212,451540
121,514,452540,6212,452540
122,518,453540,6212,453540
122,518,453540,6212,453540
122,518,454350,6212,454350
122,518,455350,6212,455350
122,518,455670,6212,455670
122,518,456320,6212,456320
123,526,456790,6212,456790
123,526,457380,6212,457380
123,526,457540,6212,457540
123,526,458350,6212,458350
123,526,459350,6212,459350
123,526,460160,6212,460160
123,526,461160,6212,461160
123,526,461160,6212,461160
123,526,461630,6212,461630
123,526,462100,6212,462100
123,526,463100,6212,463100
123,526,463570,6212,463570
123,526,463800,6212,463800
123,526,464120,6212,464120
124,534,464590,6212,464590
124,534,465400,6212,465400
124,534,466210,6212,466210
124,534,466210,6212,466210
124,534,466210,6212,466210
124,534,467020,6212,467020
124,534,467570,6212,467570
124,534,468030,6212,468030
124,534,469030,6212,469030
124,534,469500,6212,469500
124,534,469500,6212,469500
124,534,470310,6212,470310
124,534,470310,6212,470310
124,534,470780,6212,470780
124,534,470780,6212,470780
125,542,471430,6212,471430
125,542,472430,6212,472430
125,542,472890,6212,472890
125,542,473360,6212,473360
125,542,473830,6212,473830
126,544,474640,6212,474640
126,544,475450,6212,475450
126,544,476260,6212,476260
126,544,477070,6212,477070
126,544,477390,6212,477390
126,544,477710,6212,477710
126,544,478520,6212,478520
126,544,478990,6212,478990
126,544,479540,6212,479540
127,552,480540,6212,480540
127,552,481350,6212,481350
127,552,481670,6212,481670
127,552,481670,6212,481670
127,552,482670,6212,482670
127,552,483670,6212,483670
127,552,484130,6212,484130
127,552,484600,6212,484600
127,552,485410,6212,485410
127,552,485730,6212,485730
127,552,486730,6212,486730
127,552,486730,6212,486730
127,552,487200,6212,487200
128,554,488200,6212,488200
128,554,489010,6212,489010
129,562,490010,6212,490010
129,562,490820,6212,490820
129,562,491290,6212,491290
129,562,491760,6212,491760
129,562,492080,6212,492080
129,562,493080,6212,493080
129,562,493080,6212,493080
129,562,494080,6212,494080
129,562,494540,6212,494540
129,562,495540,6212,495540
129,562,496350,6212,496350
129,562,497160,6212,497160
130,570,497630,6212,497630
130,570,497790,6212,497790
130,570,498260,6212,498260
130,570,498720,6212,498720
130,570,499370,6212,499370
130,570,500180,6212,500180
130,570,500180,6212,500180
130,570,500990,6212,500990
130,570,501310,6212,501310
130,570,501770,6212,501770
130,570,502770,6212,502770
130,570,503240,6212,503240
130,570,503240,6212,503240
130,570,503240,6212,503240
130,570,503710,6212,503710
130,570,504300,6212,504300
131,572,505300,6212,505300
131,572,506300,6212,506300
132,580,506760,6212,506760
132,580,507080,6212,507080
132,580,508080,6212,508080
132,580,508890,6212,508890
132,580,509890,6212,509890
132,580,510890,6212,510890
132,580,511700,6212,511700
132,580,512170,6212,512170
132,580,512640,6212,512640
132,580,513110,6212,513110
132,580,513340,6212,513340
133,588,514340,6212,514340
133,588,514660,6212,514660
133,588,514660,6212,514660
133,588,514660,6212,514660
133,588,514660,6212,514660
133,588,515660,6212,515660
133,588,516470,6212,516470
133,588,517280,6212,517280
133,588,518280,6212,518280
133,588,518750,6212,518750
133,588,519220,6212,519220
133,588,519690,6212,519690
133,588,519690,6212,519690
133,588,520500,6212,520500
134,596,521310,6212,521310
134,596,522310,6212,522310
134,596,522780,6212,522780
134,596,523780,6212,523780
134,596,524780,6212,524780
134,596,525780,6212,525780
134,596,526250,6212,526250
134,596,527250,6212,527250
134,596,527250,6212,527250
134,596,527250,6212,527250
134,596,528060,6212,528060
134,596,528530,6212,528530
134,596,528800,6212,528800
135,604,529610,6212,529610
135,604,530080,6212,530080
135,604,530080,6212,530080
135,604,530310,6212,530310
135,604,531310,6212,531310
135,604,532310,6212,532310
135,604,532780,6212,532780
135,604,533590,6212,533590
135,604,534590,6212,534590
135,604,535050,6212,535050
135,604,535860,6212,535860
136,612,536860,6212,536860
136,612,537510,6212,537510
136,612,537980,6212,537980
136,612,538980,6212,538980
136,612,539790,6212,539790
136,612,540790,6212,540790
136,612,541600,6212,541600
136,612,542070,6212,542070
136,612,542720,6212,542720
136,612,542950,6212,542950
137,620,543760,6212,543760
137,620,544570,6212,544570
137,620,544890,6212,544890
137,620,545700,6212,545700
137,620,545920,6212,545920
137,620,546730,6212,546730
137,620,547730,6212,547730
137,620,548200,6212,548200
137,620,548430,6212,548430
137,620,549430,6212,549430
137,620,549430,6212,549430
137,620,549750,6212,549750
137,620,550220,6212,550220
138,622,551220,6212,551220
138,622,551690,6212,551690
139,626,552690,6212,552690
139,626,553500,6212,553500
139,626,553500,6212,553500
139,626,553970,6212,553970
139,626,554780,6212,554780
139,626,555590,6212,555590
140,634,556400,6212,556400
140,634,557050,6212,557050
140,634,558050,6212,558050
140,634,558520,6212,558520
140,634,559330,6212,559330
140,634,559330,6212,559330
140,634,560330,6212,560330
140,634,560330,6212,560330
140,634,561330,6212,561330
140,634,562140,6212,562140
140,634,562460,6212,562460
141,642,563460,6212,563460
141,642,563690,6212,563690
141,642,564500,6212,564500
141,642,565500,6212,565500
141,642,566310,6212,566310
141,642,566310,6212,566310
141,642,567120,6212,567120
141,642,567930,6212,567930
141,642,568740,6212,568740
141,642,569060,6212,569060
141,642,570060,6212,570060
142,650,570710,6212,570710
142,650,571180,6212,571180
142,650,571550,6212,571550
142,650,572360,6212,572360
142,650,573170,6212,573170
142,650,573170,6212,573170
142,650,573170,6212,573170
142,650,573980,6212,573980
142,650,574790,6212,574790
143,658,575440,6212,575440
143,658,576250,6212,576250
143,658,577060,6212,577060
143,658,578060,6212,578060
143,658,578380,6212,578380
143,658,578700,6212,578700
143,658,579160,6212,579160
144,666,580160,6212,580160
144,666,580160,6212,580160
144,666,580970,6212,580970
144,666,581290,6212,581290
144,666,582290,6212,582290
144,666,583290,6212,583290
144,666,583610,6212,583610
144,666,584610,6212,584610
144,666,584610,6212,584610
144,666,585070,6212,585070
144,666,586070,6212,586070
144,666,586880,6212,586880
144,666,587470,6212,587470
144,666,587940,6212,587940
144,666,588410,6212,588410
144,666,589220,6212,589220
144,666,590030,6212,590030
144,666,590620,6212,590620
145,674,591430,6212,591430
145,674,591750,6212,591750
145,674,592750,6212,592750
145,674,593750,6212,593750
145,674,594220,6212,594220
145,674,595220,6212,595220
145,674,596030,6212,596030
145,674,596500,6212,596500
145,674,596500,6212,596500
145,674,596970,6212,596970
145,674,597290,6212,597290
145,674,597610,6212,597610
145,674,598260,6212,598260
146,682,599070,6212,599070
146,682,600070,6212,600070
146,682,601070,6212,601070
146,682,601880,6212,601880
146,682,602880,6212,602880
146,682,603350,6212,603350
146,682,604350,6212,604350
146,682,605160,6212,605160
147,684,605970,6212,605970
147,684,606430,6212,606430
147,684,606660,6212,606660
147,684,607470,6212,607470
148,692,608470,6212,608470
148,692,608790,6212,608790
