ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b45b-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
29,56,34810,6212,34810
29,56,34810,6212,34810
29,56,35620,6212,35620
30,58,36620,6212,36620
30,58,37620,6212,37620
31,60,38270,6212,38270
31,60,38270,6212,38270
31,60,38270,6212,38270
31,60,39270,6212,39270
31,60,39270,6212,39270
31,60,40080,6212,40080
31,60,40890,6212,40890
31,60,41540,6212,41540
31,60,41860,6212,41860
32,62,42860,6212,42860
32,62,43860,6212,43860
32,62,44860,6212,44860
33,64,45860,6212,45860
33,64,46670,6212,46670
33,64,47320,6212,47320
34,66,47790,6212,47790
34,66,48790,6212,48790
35,68,49790,6212,49790
35,68,50790,6212,50790
36,76,51790,6212,51790
36,76,52260,6212,52260
36,76,53070,6212,53070
36,76,54070,6212,54070
36,76,54070,6212,54070
36,76,54720,6212,54720
36,76,54720,6212,54720
36,76,55190,6212,55190
36,76,55350,6212,55350
36,76,56350,6212,56350
36,76,57350,6212,57350
37,78,58160,6212,58160
37,78,58970,6212,58970
37,78,59440,6212,59440
38,86,60250,6212,60250
38,86,61250,6212,61250
38,86,61250,6212,61250
38,86,62250,6212,62250
38,86,63250,6212,63250
38,86,63250,6212,63250
38,86,63570,6212,63570
38,86,64030,6212,64030
38,86,64840,6212,64840
38,86,64840,6212,64840
38,86,65160,6212,65160
38,86,65160,6212,65160
38,86,66160,6212,66160
38,86,67160,6212,67160
38,86,67630,6212,67630
39,94,68630,6212,68630
39,94,69440,6212,69440
39,94,70440,6212,70440
39,94,71090,6212,71090
39,94,72090,6212,72090
39,94,72560,6212,72560
39,94,73370,6212,73370
39,94,74370,6212,74370
39,94,74830,6212,74830
40,102,75300,6212,75300
40,102,76300,6212,76300
40,102,76770,6212,76770
40,102,77770,6212,77770
40,102,77930,6212,77930
40,102,78930,6212,78930
40,102,79930,6212,79930
41,110,80930,6212,80930
41,110,81930,6212,81930
41,110,81930,6212,81930
41,110,82400,6212,82400
41,110,82630,6212,82630
41,110,83100,6212,83100
41,110,83910,6212,83910
41,110,84910,6212,84910
41,110,85380,6212,85380
41,110,86190,6212,86190
41,110,87000,6212,87000
41,110,88000,6212,88000
42,112,88810,6212,88810
42,112,89810,6212,89810
43,120,90810,6212,90810
43,120,90810,6212,90810
43,120,90810,6212,90810
43,120,91810,6212,91810
43,120,92810,6212,92810
43,120,93810,6212,93810
43,120,94280,6212,94280
43,120,94750,6212,94750
43,120,94750,6212,94750
43,120,95750,6212,95750
43,120,96750,6212,96750
43,120,97220,6212,97220
43,120,97220,6212,97220
43,120,98220,6212,98220
44,128,99220,6212,99220
44,128,99690,6212,99690
44,128,100160,6212,100160
44,128,100160,6212,100160
44,128,100160,6212,100160
44,128,100160,6212,100160
44,128,101160,6212,101160
44,128,102160,6212,102160
44,128,102630,6212,102630
44,128,103100,6212,103100
44,128,103100,6212,103100
45,136,103910,6212,103910
45,136,104720,6212,104720
45,136,104720,6212,104720
45,136,105040,6212,105040
45,136,105360,6212,105360
46,144,113360,6212,113360
46,144,113680,6212,113680
46,144,114490,6212,114490
46,144,115490,6212,115490
46,144,116490,6212,116490
46,144,117300,6212,117300
46,144,118300,6212,118300
46,144,118300,6212,118300
46,144,118850,6212,118850
47,152,119320,6212,119320
47,152,120320,6212,120320
47,152,121320,6212,121320
47,152,122320,6212,122320
47,152,122910,6212,122910
47,152,123910,6212,123910
47,152,124910,6212,124910
47,152,125230,6212,125230
47,152,126040,6212,126040
47,152,126690,6212,126690
48,160,127160,6212,127160
48,160,127710,6212,127710
48,160,128520,6212,128520
48,160,128990,6212,128990
48,160,129990,6212,129990
48,160,130460,6212,130460
48,160,131460,6212,131460
48,160,132270,6212,132270
48,160,132490,6212,132490
48,160,132810,6212,132810
48,160,133810,6212,133810
48,160,133810,6212,133810
49,168,134810,6212,134810
49,168,135620,6212,135620
49,168,136090,6212,136090
49,168,136320,6212,136320
49,168,136320,6212,136320
49,168,137130,6212,137130
49,168,137940,6212,137940
49,168,138750,6212,138750
49,168,139750,6212,139750
49,168,139910,6212,139910
49,168,140720,6212,140720
49,168,141190,6212,141190
50,176,142000,6212,142000
50,176,142810,6212,142810
50,176,143810,6212,143810
50,176,143810,6212,143810
50,176,144810,6212,144810
50,176,144810,6212,144810
51,184,145810,6212,145810
51,184,146280,6212,146280
51,184,146510,6212,146510
51,184,147160,6212,147160
51,184,147630,6212,147630
51,184,148440,6212,148440
51,184,149440,6212,149440
51,184,150250,6212,150250
51,184,150710,6212,150710
51,184,151180,6212,151180
51,184,151990,6212,151990
51,184,152220,6212,152220
52,186,153220,6212,153220
52,186,153690,6212,153690
52,186,154340,6212,154340
52,186,155150,6212,155150
52,186,155310,6212,155310
52,186,155310,6212,155310
53,194,156120,6212,156120
53,194,157120,6212,157120
53,194,157770,6212,157770
53,194,158240,6212,158240
53,194,158290,6212,158290
53,194,158610,6212,158610
53,194,159420,6212,159420
53,194,159890,6212,159890
53,194,160540,6212,160540
53,194,161540,6212,161540
53,194,162540,6212,162540
54,202,163540,6212,163540
54,202,164000,6212,164000
54,202,164000,6212,164000
54,202,165000,6212,165000
54,202,165000,6212,165000
54,202,165000,6212,165000
54,202,166000,6212,166000
54,202,166320,6212,166320
55,204,167130,6212,167130
55,204,168130,6212,168130
55,204,169130,6212,169130
55,204,170130,6212,170130
55,204,170590,6212,170590
55,204,171400,6212,171400
56,212,172400,6212,172400
56,212,173400,6212,173400
56,212,174210,6212,174210
56,212,175020,6212,175020
56,212,175020,6212,175020
56,212,176020,6212,176020
56,212,177020,6212,177020
56,212,178020,6212,178020
56,212,178830,6212,178830
56,212,179300,6212,179300
56,212,180300,6212,180300
57,214,181110,6212,181110
57,214,181430,6212,181430
57,214,181430,6212,181430
58,222,181430,6212,181430
58,222,182430,6212,182430
58,222,183430,6212,183430
58,222,183650,6212,183650
58,222,183650,6212,183650
58,222,184460,6212,184460
58,222,185460,6212,185460
59,224,186460,6212,186460
59,224,187270,6212,187270
59,224,187740,6212,187740
59,224,188550,6212,188550
59,224,188550,6212,188550
59,224,189550,6212,189550
59,224,189820,6212,189820
60,226,190470,6212,190470
60,226,191280,6212,191280
61,234,192090,6212,192090
61,234,192560,6212,192560
61,234,193020,6212,193020
61,234,194020,6212,194020
61,234,194340,6212,194340
61,234,194810,6212,194810
61,234,195620,6212,195620
61,234,196430,6212,196430
61,234,197430,6212,197430
61,234,198430,6212,198430
61,234,199240,6212,199240
62,242,200240,6212,200240
62,242,201050,6212,201050
62,242,202050,6212,202050
62,242,203050,6212,203050
62,242,203050,6212,203050
62,242,203050,6212,203050
62,242,203860,6212,203860
62,242,204330,6212,204330
62,242,205140,6212,205140
62,242,205950,6212,205950
62,242,206320,6212,206320
63,250,206970,6212,206970
63,250,206970,6212,206970
63,250,207970,6212,207970
63,250,207970,6212,207970
63,250,208780,6212,208780
63,250,209780,6212,209780
63,250,210780,6212,210780
63,250,211590,6212,211590
63,250,212400,6212,212400
63,250,212870,6212,212870
63,250,212870,6212,212870
63,250,212870,6212,212870
64,252,213680,6212,213680
64,252,214680,6212,214680
64,252,215000,6212,215000
64,252,215320,6212,215320
65,260,216130,6212,216130
65,260,217130,6212,217130
65,260,217450,6212,217450
65,260,218450,6212,218450
65,260,218450,6212,218450
65,260,218920,6212,218920
65,260,218920,6212,218920
65,260,219150,6212,219150
65,260,220150,6212,220150
65,260,221150,6212,221150
65,260,222150,6212,222150
66,268,223150,6212,223150
66,268,223150,6212,223150
66,268,223150,6212,223150
66,268,223310,6212,223310
66,268,224310,6212,224310
66,268,224770,6212,224770
66,268,225240,6212,225240
66,268,226240,6212,226240
66,268,226350,6212,226350
66,268,227160,6212,227160
66,268,227630,6212,227630
66,268,228630,6212,228630
67,270,229280,6212,229280
67,270,230090,6212,230090
67,270,231090,6212,231090
67,270,231090,6212,231090
67,270,231900,6212,231900
68,278,232370,6212,232370
68,278,233180,6212,233180
68,278,233180,6212,233180
68,278,233830,6212,233830
68,278,234640,6212,234640
68,278,235450,6212,235450
68,278,236260,6212,236260
68,278,237260,6212,237260
68,278,237480,6212,237480
68,278,238480,6212,238480
69,286,239130,6212,239130
69,286,240130,6212,240130
69,286,240130,6212,240130
69,286,240450,6212,240450
69,286,240450,6212,240450
69,286,241450,6212,241450
69,286,242100,6212,242100
69,286,242750,6212,242750
69,286,243070,6212,243070
69,286,243070,6212,243070
69,286,243540,6212,243540
69,286,244350,6212,244350
69,286,244900,6212,244900
69,286,245220,6212,245220
69,286,246220,6212,246220
70,294,247220,6212,247220
70,294,248220,6212,248220
70,294,248680,6212,248680
70,294,249490,6212,249490
70,294,250490,6212,250490
70,294,251490,6212,251490
70,294,252140,6212,252140
70,294,252950,6212,252950
71,302,253950,6212,253950
71,302,254760,6212,254760
71,302,255080,6212,255080
71,302,255080,6212,255080
71,302,256080,6212,256080
71,302,256890,6212,256890
71,302,257540,6212,257540
71,302,258540,6212,258540
71,302,258770,6212,258770
71,302,259240,6212,259240
71,302,259240,6212,259240
71,302,259240,6212,259240
71,302,259470,6212,259470
71,302,260280,6212,260280
71,302,260280,6212,260280
71,302,260740,6212,260740
71,302,261210,6212,261210
72,310,262020,6212,262020
72,310,263020,6212,263020
72,310,264020,6212,264020
72,310,264250,6212,264250
72,310,264900,6212,264900
72,310,264900,6212,264900
72,310,265550,6212,265550
72,310,266550,6212,266550
72,310,266550,6212,266550
72,310,267550,6212,267550
72,310,268550,6212,268550
73,318,269360,6212,269360
73,318,270170,6212,270170
73,318,270640,6212,270640
73,318,271110,6212,271110
73,318,271920,6212,271920
73,318,272920,6212,272920
73,318,273570,6212,273570
73,318,274570,6212,274570
73,318,275040,6212,275040
73,318,275510,6212,275510
74,320,276320,6212,276320
74,320,277320,6212,277320
75,328,278130,6212,278130
75,328,278130,6212,278130
75,328,279130,6212,279130
75,328,280130,6212,280130
75,328,280600,6212,280600
75,328,281070,6212,281070
75,328,281070,6212,281070
75,328,281230,6212,281230
75,328,282230,6212,282230
75,328,282230,6212,282230
75,328,283230,6212,283230
75,328,284230,6212,284230
75,328,284550,6212,284550
75,328,285550,6212,285550
76,330,286550,6212,286550
76,330,287360,6212,287360
77,334,288360,6212,288360
77,334,288830,6212,288830
77,334,289640,6212,289640
77,334,290110,6212,290110
77,334,291110,6212,291110
77,334,291270,6212,291270
78,336,292270,6212,292270
78,336,293270,6212,293270
79,338,294270,6212,294270
79,338,295270,6212,295270
79,338,295380,6212,295380
79,338,295380,6212,295380
80,346,296380,6212,296380
80,346,296610,6212,296610
80,346,296610,6212,296610
80,346,297420,6212,297420
80,346,298010,6212,298010
80,346,298470,6212,298470
80,346,299470,6212,299470
80,346,300470,6212,300470
80,346,301280,6212,301280
80,346,302090,6212,302090
81,348,302740,6212,302740
81,348,303740,6212,303740
81,348,304060,6212,304060
81,348,304280,6212,304280
81,348,304280,6212,304280
81,348,304740,6212,304740
81,348,304740,6212,304740
82,356,304960,6212,304960
82,356,305510,6212,305510
82,356,306320,6212,306320
82,356,306320,6212,306320
82,356,307130,6212,307130
82,356,307940,6212,307940
82,356,307940,6212,307940
82,356,308940,6212,308940
82,356,309410,6212,309410
82,356,309880,6212,309880
82,356,310880,6212,310880
82,356,311350,6212,311350
82,356,311350,6212,311350
83,358,312160,6212,312160
83,358,312160,6212,312160
83,358,313160,6212,313160
84,366,313810,6212,313810
84,366,314620,6212,314620
84,366,315090,6212,315090
84,366,315900,6212,315900
84,366,316370,6212,316370
84,366,317370,6212,317370
84,366,318370,6212,318370
84,366,319180,6212,319180
84,366,320180,6212,320180
85,368,321180,6212,321180
85,368,322180,6212,322180
86,376,322730,6212,322730
86,376,322730,6212,322730
86,376,323730,6212,323730
86,376,324200,6212,324200
86,376,324520,6212,324520
86,376,325520,6212,325520
86,376,326520,6212,326520
86,376,327520,6212,327520
86,376,327520,6212,327520
86,376,327890,6212,327890
86,376,328890,6212,328890
86,376,329890,6212,329890
86,376,329890,6212,329890
86,376,330890,6212,330890
86,376,330890,6212,330890
87,384,331700,6212,331700
87,384,332290,6212,332290
87,384,333100,6212,333100
87,384,333910,6212,333910
87,384,334910,6212,334910
87,384,335230,6212,335230
87,384,336230,6212,336230
87,384,336230,6212,336230
87,384,336230,6212,336230
87,384,337230,6212,337230
87,384,338230,6212,338230
88,392,339230,6212,339230
88,392,339550,6212,339550
88,392,340100,6212,340100
88,392,341100,6212,341100
88,392,342100,6212,342100
88,392,343100,6212,343100
88,392,343910,6212,343910
88,392,344720,6212,344720
88,392,344720,6212,344720
88,392,345190,6212,345190
89,400,346190,6212,346190
89,400,346510,6212,346510
89,400,347510,6212,347510
89,400,347980,6212,347980
89,400,348790,6212,348790
89,400,349790,6212,349790
89,400,350600,6212,350600
89,400,351600,6212,351600
89,400,352410,6212,352410
89,400,352730,6212,352730
89,400,352960,6212,352960
89,400,353610,6212,353610
90,402,354610,6212,354610
90,402,355420,6212,355420
90,402,355420,6212,355420
91,404,356420,6212,356420
91,404,357420,6212,357420
92,406,358420,6212,358420
92,406,358580,6212,358580
92,406,359230,6212,359230
92,406,359230,6212,359230
93,414,360040,6212,360040
93,414,360630,6212,360630
93,414,361630,6212,361630
93,414,362440,6212,362440
93,414,362910,6212,362910
93,414,363910,6212,363910
93,414,364910,6212,364910
93,414,365910,6212,365910
93,414,366380,6212,366380
94,416,367380,6212,367380
94,416,367850,6212,367850
95,418,368850,6212,368850
95,418,369170,6212,369170
95,418,369170,6212,369170
95,418,370170,6212,370170
95,418,370170,6212,370170
95,418,370170,6212,370170
96,426,371170,6212,371170
96,426,372170,6212,372170
97,428,373170,6212,373170
97,428,373170,6212,373170
97,428,373980,6212,373980
97,428,374450,6212,374450
97,428,375450,6212,375450
97,428,376450,6212,376450
97,428,377450,6212,377450
97,428,378450,6212,378450
97,428,378770,6212,378770
97,428,378770,6212,378770
98,432,379770,6212,379770
98,432,380580,6212,380580
99,434,381580,6212,381580
99,434,381810,6212,381810
99,434,382810,6212,382810
99,434,383620,6212,383620
99,434,383850,6212,383850
100,442,384850,6212,384850
100,442,385400,6212,385400
100,442,386400,6212,386400
100,442,386630,6212,386630
100,442,387630,6212,387630
100,442,387630,6212,387630
100,442,387860,6212,387860
100,442,388860,6212,388860
101,444,389670,6212,389670
101,444,389670,6212,389670
101,444,390480,6212,390480
101,444,391480,6212,391480
101,444,392290,6212,392290
101,444,393290,6212,393290
102,446,394290,6212,394290
102,446,395290,6212,395290
102,446,395290,6212,395290
102,446,395290,6212,395290
103,454,395660,6212,395660
103,454,395660,6212,395660
103,454,395660,6212,395660
103,454,396660,6212,396660
103,454,397660,6212,397660
103,454,398660,6212,398660
103,454,399210,6212,399210
103,454,400210,6212,400210
103,454,400680,6212,400680
103,454,401150,6212,401150
103,454,402150,6212,402150
103,454,402470,6212,402470
104,456,403470,6212,403470
104,456,404470,6212,404470
104,456,405020,6212,405020
104,456,405020,6212,405020
105,464,405830,6212,405830
105,464,406380,6212,406380
105,464,407380,6212,407380
105,464,408380,6212,408380
105,464,408380,6212,408380
105,464,409380,6212,409380
105,464,410190,6212,410190
105,464,411190,6212,411190
105,464,411190,6212,411190
105,464,411510,6212,411510
105,464,411510,6212,411510
106,472,419510,6212,419510
106,472,419510,6212,419510
106,472,420510,6212,420510
107,474,421510,6212,421510
107,474,421510,6212,421510
107,474,421510,6212,421510
107,474,422510,6212,422510
108,476,423510,6212,423510
108,476,424320,6212,424320
109,484,424970,6212,424970
109,484,425970,6212,425970
109,484,426440,6212,426440
109,484,427250,6212,427250
109,484,427840,6212,427840
109,484,428840,6212,428840
109,484,429130,6212,429130
109,484,429130,6212,429130
109,484,429130,6212,429130
109,484,429600,6212,429600
109,484,430250,6212,430250
109,484,430620,6212,430620
109,484,430940,6212,430940
109,484,431940,6212,431940
109,484,431940,6212,431940
110,486,432410,6212,432410
110,486,432880,6212,432880
110,486,433110,6212,433110
111,488,434110,6212,434110
111,488,435110,6212,435110
111,488,435580,6212,435580
112,496,436580,6212,436580
112,496,437580,6212,437580
112,496,438390,6212,438390
112,496,439390,6212,439390
112,496,439860,6212,439860
112,496,440020,6212,440020
112,496,441020,6212,441020
113,504,442020,6212,442020
113,504,442490,6212,442490
113,504,443490,6212,443490
113,504,444140,6212,444140
113,504,445140,6212,445140
114,506,445790,6212,445790
114,506,445790,6212,445790
114,506,446600,6212,446600
114,506,446920,6212,446920
114,506,447920,6212,447920
114,506,448150,6212,448150
114,506,449150,6212,449150
115,514,450150,6212,450150
115,514,450620,6212,450620
115,514,450730,6212,450730
115,514,450730,6212,450730
115,514,451200,6212,451200
115,514,452200,6212,452200
115,514,452570,6212,452570
115,514,452570,6212,452570
115,514,453030,6212,453030
115,514,453030,6212,453030
115,514,454030,6212,454030
115,514,454030,6212,454030
115,514,454840,6212,454840
115,514,455650,6212,455650
115,514,456460,6212,456460
115,514,457460,6212,457460
116,516,458460,6212,458460
116,516,459460,6212,459460
116,516,459460,6212,459460
117,518,460270,6212,460270
117,518,461270,6212,461270
118,526,461920,6212,461920
118,526,462240,6212,462240
119,534,470240,6212,470240
119,534,471240,6212,471240
120,538,472240,6212,472240
120,538,473240,6212,473240
120,538,474050,6212,474050
120,538,474050,6212,474050
120,538,474050,6212,474050
120,538,475050,6212,475050
120,538,476050,6212,476050
120,538,477050,6212,477050
120,538,477520,6212,477520
120,538,478520,6212,478520
120,538,479520,6212,479520
120,538,480520,6212,480520
121,540,481520,6212,481520
121,540,481980,6212,481980
122,542,482790,6212,482790
122,542,483790,6212,483790
123,544,484600,6212,484600
123,544,484650,6212,484650
123,544,485090,6212,485090
123,544,485680,6212,485680
124,552,486490,6212,486490
124,552,487490,6212,487490
124,552,487490,6212,487490
124,552,488490,6212,488490
124,552,488600,6212,488600
124,552,488920,6212,488920
124,552,489730,6212,489730
124,552,490540,6212,490540
124,552,491010,6212,491010
124,552,492010,6212,492010
124,552,493010,6212,493010
125,560,493660,6212,493660
125,560,493980,6212,493980
125,560,494450,6212,494450
125,560,495260,6212,495260
125,560,495580,6212,495580
125,560,496040,6212,496040
125,560,497040,6212,497040
125,560,498040,6212,498040
125,560,498850,6212,498850
125,560,499850,6212,499850
125,560,500850,6212,500850
125,560,500850,6212,500850
126,568,501850,6212,501850
126,568,502850,6212,502850
126,568,503850,6212,503850
126,568,504320,6212,504320
126,568,504970,6212,504970
126,568,505780,6212,505780
126,568,506780,6212,506780
126,568,507590,6212,507590
126,568,508590,6212,508590
127,570,509400,6212,509400
128,578,510400,6212,510400
128,578,510400,6212,510400
128,578,510950,6212,510950
128,578,511540,6212,511540
128,578,512540,6212,512540
128,578,513130,6212,513130
128,578,513600,6212,513600
128,578,513830,6212,513830
128,578,514150,6212,514150
128,578,514470,6212,514470
128,578,515280,6212,515280
128,578,515280,6212,515280
128,578,515280,6212,515280
128,578,515830,6212,515830
128,578,516300,6212,516300
128,578,517110,6212,517110
129,586,518110,6212,518110
129,586,519110,6212,519110
129,586,519110,6212,519110
129,586,519760,6212,519760
129,586,519760,6212,519760
129,586,520760,6212,520760
129,586,520760,6212,520760
129,586,521570,6212,521570
129,586,522570,6212,522570
129,586,523040,6212,523040
129,586,524040,6212,524040
129,586,524200,6212,524200
130,594,524850,6212,524850
130,594,525660,6212,525660
130,594,526310,6212,526310
130,594,526680,6212,526680
130,594,527680,6212,527680
130,594,528330,6212,528330
130,594,529330,6212,529330
130,594,529550,6212,529550
130,594,530360,6212,530360
130,594,531360,6212,531360
131,602,532170,6212,532170
131,602,532640,6212,532640
131,602,532640,6212,532640
131,602,533640,6212,533640
131,602,534640,6212,534640
131,602,535110,6212,535110
131,602,536110,6212,536110
131,602,536920,6212,536920
131,602,537920,6212,537920
132,610,538920,6212,538920
132,610,538920,6212,538920
132,610,539730,6212,539730
132,610,540730,6212,540730
132,610,541050,6212,541050
133,612,542050,6212,542050
133,612,542860,6212,542860
133,612,543230,6212,543230
133,612,544040,6212,544040
133,612,544850,6212,544850
133,612,546850,6212,546850
133,612,546850,6212,546850
133,612,547850,6212,547850
133,612,548850,6212,548850
133,612,549850,6212,549850
133,612,550660,6212,550660
133,612,551130,6212,551130
133,612,551450,6212,551450
134,614,552260,6212,552260
134,614,552720,6212,552720
135,622,553720,6212,553720
135,622,554190,6212,554190
135,622,554840,6212,554840
135,622,554840,6212,554840
136,624,555650,6212,555650
136,624,556120,6212,556120
136,624,556590,6212,556590
136,624,557590,6212,557590
136,624,558590,6212,558590
136,624,558590,6212,558590
136,624,558590,6212,558590
136,624,559400,6212,559400
137,628,560050,6212,560050
137,628,561050,6212,561050
137,628,562050,6212,562050
137,628,562860,6212,562860
137,628,563330,6212,563330
137,628,564330,6212,564330
137,628,565140,6212,565140
138,636,566140,6212,566140
138,636,567140,6212,567140
138,636,568140,6212,568140
138,636,568460,6212,568460
138,636,569110,6212,569110
138,636,569660,6212,569660
138,636,570250,6212,570250
138,636,571250,6212,571250
138,636,572250,6212,572250
138,636,572250,6212,572250
138,636,572250,6212,572250
138,636,572250,6212,572250
139,644,573250,6212,573250
139,644,573720,6212,573720
139,644,574190,6212,574190
139,644,575190,6212,575190
139,644,575660,6212,575660
139,644,576130,6212,576130
139,644,576940,6212,576940
139,644,576940,6212,576940
139,644,577410,6212,577410
139,644,577520,6212,577520
139,644,578520,6212,578520
139,644,579330,6212,579330
139,644,580330,6212,580330
140,646,581330,6212,581330
140,646,582330,6212,582330
141,648,583330,6212,583330
141,648,584330,6212,584330
141,648,584330,6212,584330
141,648,584330,6212,584330
142,656,584800,6212,584800
142,656,585270,6212,585270
142,656,585920,6212,585920
143,658,586920,6212,586920
143,658,587570,6212,587570
143,658,587570,6212,587570
143,658,587890,6212,587890
143,658,588890,6212,588890
143,658,589890,6212,589890
143,658,590700,6212,590700
143,658,591510,6212,591510
144,666,592510,6212,592510
144,666,592730,6212,592730
144,666,593730,6212,593730
144,666,594730,6212,594730
144,666,595540,6212,595540
144,666,595860,6212,595860
144,666,596860,6212,596860
144,666,597510,6212,597510
144,666,598510,6212,598510
144,666,598740,6212,598740
144,666,599390,6212,599390
144,666,600390,6212,600390
144,666,600860,6212,600860
144,666,601330,6212,601330
145,674,601800,6212,601800
145,674,602800,6212,602800
145,674,603260,6212,603260
145,674,604070,6212,604070
145,674,605070,6212,605070
145,674,606070,6212,606070
145,674,607070,6212,607070
145,674,607530,6212,607530
145,674,608530,6212,608530
145,674,608530,6212,608530
146,676,609530,6212,609530
146,676,610180,6212,610180
147,678,611180,6212,611180
147,678,611650,6212,611650
147,678,612650,6212,612650
147,678,612810,6212,612810
147,678,612810,6212,612810
148,680,613280,6212,613280
148,680,614280,6212,614280
149,688,615280,6212,615280
149,688,615440,6212,615440
149,688,616440,6212,616440
149,688,617440,6212,617440
149,688,618440,6212,618440
149,688,619250,6212,619250
149,688,619250,6212,619250
149,688,620250,6212,620250
149,688,620250,6212,620250
149,688,621250,6212,621250
149,688,621720,6212,621720
149,688,622530,6212,622530
150,690,623530,6212,623530
150,690,624340,6212,624340
151,692,624990,6212,624990
151,692,625990,6212,625990
151,692,626310,6212,626310
151,692,626310,6212,626310
152,694,627120,6212,627120
152,694,628120,6212,628120
152,694,629120,6212,629120
153,702,629930,6212,629930
153,702,630930,6212,630930
153,702,631740,6212,631740
153,702,632210,6212,632210
153,702,632670,6212,632670
153,702,633140,6212,633140
153,702,633610,6212,633610
153,702,633610,6212,633610
153,702,633610,6212,633610
153,702,634420,6212,634420
153,702,635070,6212,635070
153,702,636070,6212,636070
154,710,636540,6212,636540
154,710,637540,6212,637540
154,710,638540,6212,638540
154,710,639350,6212,639350
154,710,640350,6212,640350
154,710,641160,6212,641160
154,710,642160,6212,642160
154,710,642160,6212,642160
154,710,643160,6212,643160
155,712,643970,6212,643970
155,712,644970,6212,644970
156,714,645970,6212,645970
156,714,646290,6212,646290
156,714,647290,6212,647290
156,714,647290,6212,647290
157,716,648100,6212,648100
157,716,649100,6212,649100
158,718,649910,6212,649910
158,718,650910,6212,650910
159,726,651910,6212,651910
159,726,652370,6212,652370
159,726,653180,6212,653180
159,726,653830,6212,653830
159,726,654640,6212,654640
159,726,655290,6212,655290
159,726,655610,6212,655610
159,726,656610,6212,656610
159,726,657610,6212,657610
159,726,658610,6212,658610
160,734,659610,6212,659610
160,734,660080,6212,660080
160,734,660550,6212,660550
160,734,660550,6212,660550
160,734,661360,6212,661360
160,734,661830,6212,661830
160,734,662640,6212,662640
160,734,662970,6212,662970
160,734,663970,6212,663970
161,742,664970,6212,664970
161,742,665970,6212,665970
161,742,666780,6212,666780
161,742,667780,6212,667780
161,742,668430,6212,668430
161,742,669430,6212,669430
161,742,669900,6212,669900
161,742,670710,6212,670710
161,742,670930,6212,670930
161,742,671150,6212,671150
161,742,672150,6212,672150
161,742,673150,6212,673150
161,742,673960,6212,673960
