ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7bf9-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
866232.55,13.94,0.35,181459.74,2.92
865816.03,13.94,0.34,180928.13,2.91
865680.05,13.94,0.34,180926.64,2.91
865544.07,13.94,0.34,180978.07,2.91
865408.1,13.94,0.34,180972.11,2.92
864991.57,13.93,0.34,180579.41,2.91
864916.37,13.93,0.34,180389.12,2.91
865106.82,13.94,0.34,180343.66,2.91
864690.3,13.93,0.34,179812.05,2.9
864483.87,13.93,0.33,180504.97,2.91
864067.35,13.93,0.33,179973.37,2.9
863931.37,13.93,0.33,179876.79,2.9
864227.39,13.93,0.33,179876.34,2.9
863865.39,13.93,0.33,179876.34,2.9
863865.39,13.93,0.33,179876.34,2.9
863729.42,13.93,0.33,179953.57,2.9
863664.21,13.93,0.33,179773.29,2.9
863599.01,13.93,0.33,179593.0,2.9
862993.81,13.92,0.32,178872.72,2.89
862857.83,13.92,0.32,178861.05,2.89
862857.83,13.92,0.32,178868.03,2.89
863153.85,13.93,0.33,178827.97,2.89
863153.85,13.93,0.33,178912.27,2.89
862737.33,13.92,0.32,178380.66,2.88
862578.65,13.92,0.32,178221.98,2.88
862578.65,13.92,0.32,180398.64,2.91
861973.45,13.91,0.31,179678.36,2.9
861837.47,13.91,0.31,179677.91,2.9
861420.95,13.91,0.31,179146.31,2.89
861284.97,13.91,0.31,179146.3,2.89
861176.29,13.91,0.31,179037.62,2.89
861040.31,13.91,0.31,179037.62,2.89
861040.31,13.91,0.31,179330.57,2.9
860842.92,13.9,0.31,179148.88,2.89
860706.95,13.9,0.31,179142.01,2.89
860570.97,13.9,0.31,179117.42,2.89
860434.99,13.9,0.31,179107.52,2.89
860299.01,13.9,0.31,179038.11,2.89
860163.04,13.9,0.31,179037.66,2.89
860459.06,13.91,0.31,179037.66,2.89
860459.06,13.91,0.31,179037.66,2.89
860323.08,13.91,0.31,179257.77,2.9
860323.08,13.91,0.31,179257.77,2.9
860187.1,13.91,0.31,179214.11,2.9
859963.64,13.91,0.31,179037.66,2.9
859827.67,13.91,0.31,180239.4,2.92
859827.67,13.91,0.31,180239.4,2.92
859902.46,13.91,0.31,180199.12,2.91
859297.26,13.9,0.3,179478.83,2.9
858880.74,13.9,0.3,178947.23,2.9
858880.74,13.9,0.3,178947.23,2.9
858899.45,13.9,0.3,178989.76,2.9
858763.48,13.9,0.3,178995.99,2.9
858627.5,13.9,0.3,178910.45,2.9
858022.3,13.89,0.29,178190.17,2.88
858051.04,13.89,0.29,178103.83,2.88
857915.06,13.89,0.29,178081.14,2.88
857779.08,13.89,0.29,178024.52,2.88
857173.88,13.88,0.29,177443.14,2.87
856757.36,13.88,0.28,176911.54,2.87
856152.15,13.87,0.27,176191.25,2.85
855546.95,13.86,0.27,175470.97,2.84
855273.01,13.86,0.26,175197.03,2.84
855137.03,13.86,0.26,175196.58,2.84
854531.83,13.85,0.25,174476.29,2.83
854395.85,13.85,0.25,174476.29,2.83
854259.88,13.85,0.25,174476.29,2.83
854259.88,13.85,0.25,174476.29,2.83
854123.9,13.85,0.25,174667.85,2.83
853987.92,13.85,0.25,174651.27,2.83
854283.94,13.86,0.26,174579.43,2.83
853959.61,13.85,0.26,173926.13,2.82
853823.64,13.85,0.26,173911.33,2.82
853687.66,13.85,0.26,173839.78,2.82
853181.58,13.85,0.25,173385.99,2.81
853181.58,13.85,0.25,173385.99,2.81
853045.61,13.85,0.25,173386.98,2.81
852909.63,13.85,0.25,173299.64,2.81
852585.3,13.84,0.25,172646.34,2.8
852041.39,13.85,0.25,172673.14,2.81
852041.39,13.85,0.25,172673.14,2.81
851535.31,13.84,0.24,172219.34,2.8
851535.31,13.84,0.24,172219.34,2.8
851609.65,13.84,0.24,171950.25,2.79
851473.67,13.84,0.24,171927.56,2.79
851294.04,13.84,0.24,171855.4,2.79
851294.04,13.84,0.24,171855.4,2.79
851368.76,13.84,0.25,171649.64,2.79
851243.6,13.84,0.25,172133.37,2.8
851107.62,13.84,0.25,175360.97,2.85
850971.65,13.84,0.25,175304.35,2.85
850851.33,13.84,0.25,175163.33,2.85
851041.78,13.85,0.25,175143.49,2.85
851050.83,13.85,0.25,175710.66,2.86
850914.86,13.85,0.25,175703.39,2.86
850778.88,13.85,0.25,176104.41,2.87
851074.9,13.86,0.26,176402.98,2.87
850778.47,13.85,0.26,176184.8,2.87
850778.47,13.85,0.26,176184.8,2.87
850831.17,13.86,0.26,175471.18,2.86
850905.51,13.86,0.26,175315.17,2.86
851175.8,13.86,0.27,176009.86,2.87
851217.69,13.87,0.27,176001.59,2.87
851217.69,13.87,0.27,176001.59,2.87
851217.69,13.87,0.27,176001.59,2.87
851081.71,13.87,0.27,176001.14,2.87
850945.73,13.87,0.27,176001.14,2.87
850809.75,13.87,0.27,176111.37,2.87
850884.09,13.87,0.27,175564.54,2.86
850748.11,13.87,0.27,175489.41,2.86
850376.11,13.87,0.27,175098.01,2.85
850240.14,13.87,0.27,175062.9,2.85
850104.16,13.87,0.27,175544.37,2.86
850146.04,13.87,0.27,175227.06,2.86
849999.25,13.87,0.27,175461.3,2.86
849863.27,13.87,0.27,175466.51,2.86
849727.29,13.87,0.27,175461.09,2.86
849727.29,13.87,0.27,175461.09,2.86
849727.29,13.87,0.27,175461.09,2.86
849727.29,13.87,0.27,175461.09,2.86
849727.29,13.87,0.27,175461.09,2.86
849591.32,13.87,0.27,175460.85,2.86
849467.96,13.87,0.27,174755.04,2.85
849232.06,13.87,0.27,174525.28,2.85
849297.38,13.87,0.27,174102.02,2.84
849297.38,13.87,0.27,174102.02,2.84
849297.38,13.87,0.27,174102.02,2.84
849062.8,13.87,0.27,173779.72,2.84
849062.8,13.87,0.27,173779.72,2.84
849062.8,13.87,0.27,173779.72,2.84
849062.8,13.87,0.27,173779.72,2.84
849253.25,13.87,0.27,173992.41,2.84
849318.57,13.88,0.28,173569.14,2.84
849318.57,13.88,0.28,173569.14,2.84
849083.99,13.87,0.28,173246.84,2.83
848948.02,13.87,0.28,173192.76,2.83
848549.54,13.87,0.27,172806.91,2.82
848413.56,13.87,0.27,172736.06,2.82
848277.58,13.87,0.27,172735.61,2.82
848341.1,13.87,0.27,172311.45,2.82
848194.31,13.87,0.27,172442.82,2.82
848058.33,13.87,0.27,172442.82,2.82
848058.33,13.87,0.27,172442.82,2.82
848248.78,13.88,0.28,172572.17,2.82
848112.81,13.88,0.28,172577.34,2.82
848112.81,13.88,0.28,172488.16,2.82
848259.61,13.88,0.28,171908.26,2.81
848555.63,13.89,0.29,172007.81,2.81
848432.27,13.89,0.29,171170.94,2.8
848385.05,13.89,0.29,171264.29,2.8
848448.57,13.89,0.29,171833.93,2.81
848305.02,13.89,0.29,171685.17,2.81
848379.35,13.89,0.3,173104.29,2.83
848243.37,13.89,0.3,173104.29,2.84
848539.39,13.9,0.3,173104.29,2.84
848392.6,13.9,0.3,172491.25,2.83
848272.29,13.9,0.3,172440.4,2.83
848324.99,13.9,0.3,172440.4,2.83
848189.01,13.9,0.3,172440.65,2.83
847892.58,13.9,0.3,172164.66,2.82
848173.69,13.9,0.31,172164.41,2.82
848037.71,13.9,0.31,172164.41,2.82
847901.74,13.9,0.31,172959.59,2.84
847516.5,13.9,0.3,172653.97,2.83
847380.53,13.9,0.3,172823.87,2.83
847433.23,13.9,0.3,172823.87,2.83
847297.25,13.9,0.3,172823.87,2.84
847161.27,13.9,0.3,172823.87,2.84
846874.19,13.9,0.3,172526.3,2.83
846738.21,13.9,0.3,172526.3,2.83
846451.12,13.89,0.3,172293.02,2.83
846315.14,13.89,0.3,172293.02,2.83
846016.79,13.89,0.29,172004.38,2.82
846016.79,13.89,0.29,172004.38,2.82
845880.81,13.89,0.29,172151.65,2.83
845880.81,13.89,0.29,172062.53,2.83
845744.84,13.89,0.29,171959.17,2.82
845608.86,13.89,0.29,172100.51,2.83
845661.56,13.89,0.29,172100.47,2.83
845525.58,13.89,0.29,172100.06,2.83
845525.58,13.89,0.29,172077.65,2.83
845389.61,13.89,0.29,172077.65,2.83
845017.61,13.89,0.29,171813.85,2.82
845070.31,13.89,0.29,171813.85,2.82
844934.33,13.89,0.29,171907.02,2.83
845124.78,13.89,0.3,171908.28,2.83
845124.78,13.89,0.3,171934.11,2.83
845124.78,13.89,0.3,171941.63,2.83
844916.43,13.89,0.29,171727.14,2.82
844641.63,13.89,0.29,172484.79,2.84
845015.48,13.89,0.3,172335.89,2.83
845057.36,13.9,0.3,172478.96,2.84
844921.39,13.9,0.3,172399.65,2.84
844974.09,13.9,0.3,172584.64,2.84
844974.09,13.9,0.3,172562.5,2.84
844974.09,13.9,0.3,172584.9,2.84
844838.11,13.9,0.3,172585.04,2.84
844890.81,13.9,0.3,172584.45,2.84
844890.81,13.9,0.3,172584.45,2.84
844890.81,13.9,0.3,172584.45,2.84
844943.51,13.91,0.31,172589.74,2.84
844758.63,13.9,0.31,172674.55,2.84
844622.65,13.9,0.31,172669.27,2.84
844486.68,13.9,0.31,172669.27,2.84
844350.7,13.9,0.31,172969.24,2.85
844541.15,13.91,0.31,173081.86,2.85
844405.17,13.91,0.31,173370.01,2.86
844470.49,13.91,0.31,172946.74,2.85
844470.49,13.91,0.31,172924.34,2.85
844235.92,13.91,0.31,172602.03,2.84
844099.94,13.91,0.31,172602.17,2.84
843963.96,13.91,0.31,172601.58,2.84
844016.66,13.91,0.31,172601.58,2.85
844382.27,13.92,0.32,172612.2,2.85
844039.57,13.91,0.32,172601.58,2.85
843903.6,13.91,0.32,172601.58,2.85
844199.62,13.92,0.32,173019.69,2.85
844063.64,13.92,0.32,173113.07,2.86
843927.66,13.92,0.32,173232.07,2.86
843555.66,13.92,0.32,173010.35,2.85
843419.69,13.92,0.32,173009.9,2.85
843472.39,13.92,0.32,173009.9,2.85
843525.09,13.92,0.32,173009.9,2.86
843389.11,13.92,0.32,173018.95,2.86
843389.11,13.92,0.32,173043.87,2.86
843253.13,13.92,0.32,173041.51,2.86
843549.16,13.93,0.33,173034.82,2.86
843413.18,13.93,0.33,173688.93,2.87
843041.18,13.92,0.32,173362.82,2.86
843406.78,13.93,0.33,173983.72,2.87
843270.81,13.93,0.33,173968.92,2.87
843323.51,13.93,0.33,174060.22,2.88
843376.21,13.93,0.34,174171.3,2.88
843043.45,13.93,0.33,173767.99,2.87
843096.15,13.93,0.34,173903.29,2.87
843286.6,13.94,0.34,173966.31,2.88
843080.84,13.93,0.34,173735.26,2.87
843080.84,13.93,0.34,173731.65,2.87
843080.84,13.93,0.34,173757.39,2.87
843080.84,13.93,0.34,173802.99,2.87
842944.87,13.93,0.34,173975.83,2.88
842997.57,13.94,0.34,174086.91,2.88
842453.66,13.94,0.34,174108.79,2.88
842317.68,13.94,0.34,174103.39,2.88
842181.7,13.94,0.34,174189.64,2.88
842045.73,13.94,0.34,174110.33,2.88
841909.75,13.94,0.34,174248.7,2.88
841773.77,13.94,0.34,174248.7,2.89
842080.61,13.94,0.35,174376.23,2.89
841944.63,13.94,0.35,174296.92,2.89
841808.65,13.94,0.35,174296.92,2.89
841675.0,13.94,0.35,174305.43,2.89
841289.86,13.94,0.34,173982.43,2.88
841153.88,13.94,0.34,173981.99,2.88
841206.59,13.94,0.34,173981.98,2.88
841070.61,13.94,0.34,173991.91,2.88
841366.63,13.95,0.35,173988.57,2.88
841230.65,13.95,0.35,173981.98,2.88
841094.68,13.95,0.35,174333.11,2.89
840958.7,13.95,0.35,174425.45,2.89
840822.72,13.95,0.35,174497.83,2.89
840686.74,13.95,0.35,174497.38,2.9
840324.75,13.94,0.35,174239.54,2.89
840188.77,13.94,0.35,174239.54,2.89
840188.77,13.94,0.35,174193.94,2.89
840052.79,13.94,0.35,174206.46,2.89
839916.81,13.94,0.35,174202.16,2.89
839780.84,13.94,0.35,174194.1,2.89
839484.41,13.94,0.34,173865.09,2.89
839537.11,13.94,0.34,173864.92,2.89
839589.81,13.94,0.35,174316.35,2.9
839870.92,13.95,0.35,174521.36,2.9
840166.94,13.96,0.36,174520.91,2.9
840166.94,13.96,0.36,174584.01,2.9
839960.51,13.95,0.36,174381.79,2.9
839588.51,13.95,0.35,174381.79,2.9
839394.94,13.95,0.35,174320.75,2.9
839258.96,13.95,0.35,174337.63,2.9
839311.66,13.95,0.35,174324.98,2.9
839175.69,13.95,0.35,174326.68,2.9
839228.39,13.95,0.35,174320.75,2.9
839228.39,13.95,0.35,174320.75,2.9
839524.41,13.96,0.36,174735.52,2.91
839388.43,13.96,0.36,174787.58,2.91
839252.45,13.96,0.36,175203.99,2.91
839305.16,13.96,0.36,175203.95,2.91
839169.18,13.96,0.36,175203.54,2.91
839033.2,13.96,0.36,175207.16,2.92
838661.2,13.96,0.36,174820.44,2.91
838525.23,13.96,0.36,174818.29,2.91
838577.93,13.96,0.36,174816.92,2.91
838441.95,13.96,0.36,175120.85,2.92
838737.97,13.96,0.37,175220.98,2.92
838737.97,13.96,0.37,175221.07,2.92
838790.67,13.97,0.37,175563.94,2.92
838843.37,13.97,0.37,175563.9,2.92
838843.37,13.97,0.37,175616.58,2.92
838707.4,13.97,0.37,175616.17,2.93
838571.42,13.97,0.37,175616.17,2.93
838347.9,13.97,0.37,175346.47,2.92
838075.95,13.97,0.37,175346.47,2.92
838075.95,13.97,0.37,175346.56,2.92
838128.65,13.97,0.37,175763.63,2.93
838128.65,13.97,0.37,175741.4,2.93
837992.67,13.97,0.37,175652.05,2.93
837856.7,13.97,0.37,175664.2,2.93
837909.4,13.97,0.37,175775.28,2.93
837773.42,13.97,0.37,175769.88,2.93
837637.44,13.97,0.38,175769.88,2.93
837501.47,13.97,0.38,175769.88,2.93
837554.17,13.98,0.38,175769.88,2.93
837330.71,13.97,0.37,175794.84,2.93
837383.41,13.98,0.38,175794.84,2.93
837247.43,13.98,0.38,175794.84,2.93
837111.46,13.98,0.38,176026.84,2.94
837111.46,13.98,0.38,176031.36,2.94
836975.48,13.98,0.38,176083.03,2.94
837165.93,13.98,0.38,176380.94,2.95
837165.93,13.98,0.38,176379.93,2.95
837029.95,13.98,0.38,176379.93,2.95
836758.0,13.98,0.38,176379.99,2.95
836551.57,13.98,0.38,176289.97,2.95
836847.59,13.98,0.39,176290.18,2.95
836724.23,13.98,0.39,175674.31,2.94
836677.01,13.98,0.39,175538.76,2.93
836541.03,13.99,0.39,175538.5,2.93
836405.06,13.99,0.39,175693.99,2.94
836269.08,13.99,0.39,175647.06,2.94
836321.78,13.99,0.39,176027.46,2.94
836321.78,13.99,0.39,176064.63,2.94
836374.48,13.99,0.39,176064.59,2.95
835790.57,13.98,0.38,175480.67,2.94
835567.11,13.98,0.38,175383.14,2.93
835431.13,13.98,0.38,175382.73,2.93
835431.13,13.98,0.38,175408.57,2.94
835431.13,13.98,0.38,175408.57,2.94
835727.15,13.99,0.39,175408.57,2.94
835779.85,13.99,0.39,175419.91,2.94
835779.85,13.99,0.39,175419.91,2.94
835643.88,13.99,0.39,175408.81,2.94
835503.42,13.99,0.39,175408.57,2.94
835367.44,13.99,0.39,175820.38,2.94
835231.46,13.99,0.39,175944.58,2.95
835095.49,13.99,0.39,175976.93,2.95
835095.49,13.99,0.39,175975.31,2.95
835480.15,13.99,0.4,175974.86,2.95
835168.05,13.99,0.39,175974.86,2.95
835032.07,13.99,0.39,176003.11,2.95
835032.07,13.99,0.39,176003.11,2.95
835222.52,13.99,0.4,175982.61,2.95
835275.22,14.0,0.4,175974.86,2.95
834187.41,14.0,0.4,175974.41,2.95
834051.43,14.0,0.4,176702.49,2.97
833915.45,14.0,0.4,176702.05,2.97
833779.47,14.0,0.4,176702.04,2.97
833969.93,14.0,0.41,176915.0,2.97
833833.95,14.0,0.41,176334.35,2.96
834129.97,14.01,0.41,176196.02,2.96
834004.81,14.01,0.41,176895.4,2.97
833858.01,14.01,0.41,176747.04,2.97
833722.04,14.01,0.41,176820.23,2.97
833586.06,14.01,0.41,176810.33,2.97
833450.08,14.01,0.41,176740.92,2.97
833228.54,14.01,0.41,176616.89,2.97
833092.57,14.01,0.41,176537.58,2.97
832956.59,14.01,0.41,176537.58,2.97
833030.92,14.01,0.41,177696.79,2.99
833072.81,14.01,0.41,176498.61,2.97
833159.22,14.01,0.42,177877.14,2.99
833023.24,14.01,0.42,177876.69,2.99
832887.26,14.01,0.42,177876.69,2.99
832751.29,14.01,0.42,177999.01,3.0
832615.31,14.01,0.42,178051.69,3.0
832615.31,14.01,0.42,178051.69,3.0
832486.32,14.01,0.42,177804.31,2.99
832782.34,14.02,0.42,177780.37,2.99
832972.79,14.02,0.43,177779.92,2.99
832972.79,14.02,0.43,177779.92,2.99
832836.81,14.02,0.43,177779.92,2.99
832700.84,14.02,0.43,177779.92,2.99
832753.54,14.03,0.43,178593.66,3.01
832468.84,14.02,0.43,178481.84,3.01
832332.87,14.02,0.43,178650.0,3.01
832197.53,14.02,0.43,177988.24,3.0
831974.93,14.02,0.43,178047.03,3.0
832027.63,14.03,0.43,177923.47,3.0
831891.65,14.03,0.43,177878.87,3.0
830803.83,14.03,0.43,177878.56,3.0
830856.54,14.03,0.43,178587.24,3.02
830720.56,14.03,0.43,178531.54,3.02
831001.67,14.04,0.44,178531.09,3.02
830865.69,14.04,0.44,178531.09,3.02
830729.71,14.04,0.44,178545.3,3.02
831025.74,14.04,0.44,178539.6,3.02
830889.76,14.04,0.44,178531.09,3.02
830942.46,14.04,0.45,178954.65,3.02
831132.91,14.05,0.45,179171.38,3.03
830996.93,14.05,0.45,179620.1,3.04
830860.96,14.05,0.45,179619.65,3.04
830724.98,14.05,0.45,179619.65,3.04
830589.0,14.05,0.45,179636.67,3.04
830453.02,14.05,0.45,179631.84,3.04
830317.05,14.05,0.45,179619.65,3.04
830181.07,14.05,0.45,179806.81,3.04
830045.09,14.05,0.45,179737.36,3.04
829673.09,14.04,0.45,179666.48,3.04
829537.12,14.04,0.45,179548.77,3.04
829537.12,14.04,0.45,179545.84,3.04
829401.14,14.04,0.45,179545.84,3.04
829401.14,14.04,0.45,179545.84,3.04
829265.16,14.04,0.45,179545.84,3.04
829129.18,14.04,0.45,179545.84,3.04
829129.18,14.04,0.45,179545.84,3.04
828993.21,14.04,0.45,179546.06,3.04
828786.78,14.04,0.44,179366.48,3.04
828650.8,14.04,0.44,179366.26,3.04
828514.82,14.04,0.44,179366.26,3.04
828514.82,14.04,0.44,179366.26,3.04
828514.82,14.04,0.44,179418.87,3.04
828819.0,14.05,0.45,179767.9,3.05
828683.02,14.05,0.45,179785.6,3.05
828735.72,14.05,0.45,179785.55,3.05
828735.72,14.05,0.45,179784.61,3.05
828599.74,14.05,0.45,179784.2,3.05
828403.31,14.05,0.45,179638.06,3.05
828267.34,14.05,0.45,179641.31,3.05
828320.04,14.05,0.45,179639.02,3.05
828184.06,14.05,0.45,179639.53,3.05
827823.91,14.05,0.45,179352.81,3.04
827876.61,14.05,0.45,179351.34,3.04
827929.31,14.05,0.45,180112.34,3.06
828119.77,14.06,0.46,180311.9,3.06
827983.79,14.06,0.46,180232.59,3.06
827777.36,14.05,0.46,179916.3,3.05
827641.38,14.05,0.46,179916.3,3.06
827505.4,14.05,0.46,179836.99,3.05
827369.43,14.05,0.46,179836.99,3.05
827246.07,14.05,0.46,179221.13,3.04
827506.32,14.06,0.46,179397.58,3.05
827802.34,14.07,0.47,179507.76,3.05
827666.36,14.07,0.47,179749.26,3.05
827530.39,14.07,0.47,179726.57,3.06
827394.41,14.07,0.47,179669.95,3.05
827258.43,14.07,0.47,179669.95,3.06
826971.34,14.06,0.46,179466.99,3.05
826835.37,14.06,0.46,179466.99,3.05
